X,Y,Name,description,AWARDED_DATE,LANDYADDRESSPOINT,PHOTOURL,ADDRESSBLOCKHOUSENUMBER,EST_ORIGINAL_COMPLETION_DATE,STATUS,APPROXIMATE_GFA,INFO_ON_CO_LOCATORS,ADDRESSBUILDINGNAME,HUP_COMPLETION_DATE,LANDXADDRESSPOINT,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,IMPLEMENTATION_DATE,ADDRESS_MYENV,INC_CRC,FMEL_UPD_D
103.839231344066,1.36678764523637,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),HUP Standard Upgrading,,38757.95,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154827180.jpg,226D,13/10/1976,Existing,,,,20/1/2010,28658.02,Ang Mo Kio Ave 1,564226,,"Blk 226D, Ang Mo Kio Ave 1, Singapore 564226",0177924BFEEDB123,20221012163049
103.848254220438,1.36410517096399,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),HUP Rebuilding,,38461.34,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538105392.jpg,341,1979,Existing,,,,1/3/2002,29662.16,Ang Mo Kio Ave 1,560341,,"Blk 341, Ang Mo Kio Ave 1, Singapore 560341",07D7927B914C0CDF,20221012163049
103.855369790045,1.36276891777383,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),HUP Standard Upgrading,,38313.59,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538704472.jpg,409,31/7/1979,Existing,,,,28/11/2011,30454.04,Ang Mo Kio Ave 10,560409,,"Blk 409, Ang Mo Kio Ave 10, Singapore 560409",6728AD9499690403,20221012163049
103.856351437414,1.36824049310006,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),HUP Standard Upgrading,,38918.61,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259902043777.jpg,453A,11/4/1979,Existing,,,,1/1/2002,30563.28,Ang Mo Kio Ave 10,561453,,"Blk 453A, Ang Mo Kio Ave 10, Singapore 561453",D0070B6780E2F7EB,20221012163049
103.854482811591,1.37276992816898,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),HUP Reconfiguration,,39419.45,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165592824.jpg,527,24/12/1979,Existing,,,,21/2/2004,30355.32,Ang Mo Kio Ave 10,560527,,"Blk 527, Ang Mo Kio Ave 10, Singapore 560527",46587340BA928880,20221012163049
103.839214290038,1.37448912101909,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),HUP Standard Upgrading,,39609.54,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165416622.jpg,160/162,30/6/1981,Existing,,,,31/12/2008,28656.12,Ang Mo Kio Ave 4,560160,,"Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162",546287EBBB6E50A6,20221012163049
103.840682307297,1.38102486670548,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),HUP Rebuilding,,40332.23,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-628-ang-mo-kio-ave-4.jpg,628,31/12/1979,Existing,,,,16/12/2009,28819.49,Ang Mo Kio Ave 4,560628,,"Blk 628, Ang Mo Kio Ave 4, Singapore 560628",CE6A36B49FA5756A,20221012163049
103.846519219268,1.37219743270045,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),HUP Reconfiguration,,39356.14,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155216756.jpg,724,31/1/1980,Existing,,,,2/1/2008,29469.07,Ang Mo Kio Ave 6,560724,,"Blk 724, Ang Mo Kio Ave 6, Singapore 560724",8285869D56ECB18F,20221012163049
103.839953165936,1.36723014879667,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),HUP Reconfiguration,,38806.88,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901689557.jpg,226H,30/9/1976,Existing,,,,13/12/2003,28738.35,Ang Mo Kio Street 22,568226,,"Blk 226H, Ang Mo Kio Street 22, Singapore 568226",69908CB70A6BE99E,20221012163049
103.955474150677,1.32035600765426,Bedok Food Centre,HUP Rebuilding,,33624.11,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176030572.jpg,1,1971,Existing,1081.18,,,6/2/2005,41594.72,Bedok Road,469572,,"1, Bedok Road, Singapore 469572",5074BAFFA5D70724,20221012163049
103.933221544751,1.32706240888967,Bedok North Street 1 Blk 216,HUP Standard Upgrading,,34365.56,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154705733.jpg,216,21/8/1979,Existing,,,,15/12/2008,39118.19,Bedok North Street 1,460216,,"Blk 216, Bedok North Street 1, Singapore 460216",B8E4DB8CFECEFE61,20221012163049
103.930602144469,1.33324627868937,Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),HUP Standard Upgrading,,35049.33,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166047112.jpg,511,16/3/1979,Existing,,,,1/7/2004,38826.65,Bedok North Street 3,460511,,"Blk 511, Bedok North Street 3, Singapore 460511",29D02D343318B565,20221012163049
103.91405388831,1.33315924777343,Bedok Reservoir Road Blk 630,HUP Rebuilding,,35039.64,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155176127.jpg,630,30/6/1982,Existing,,,,28/2/2006,36985,Bedok Reservoir Road,470630,,"Blk 630, Bedok Reservoir Road, Singapore 470630",BBA7FF2B158D219A,20221012163049
103.93553909635,1.32055216480957,Bedok South Road Blk 16,HUP Standard Upgrading,,33645.7,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853021378.jpg,16,12/5/1975,Existing,,,,20/9/2012,39376.14,Bedok South Road,460016,,"Blk 16, Bedok South Road, Singapore 460016",483F3877C2096482,20221012163049
103.863021377531,1.31921699786807,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),HUP Standard Upgrading,,33497.85,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226446535.jpg,29,17/3/1971,Existing,,,,31/12/2004,31305.63,Bendemeer Road,330029,,"Blk 29, Bendemeer Road, Singapore 330029",A7DB5A3E6C113EAC,20221012163049
103.827358017197,1.28882210205212,Beo Crescent Market,HUP Standard Upgrading,,30136.92,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267807628554.jpg,38A,1965,Existing,1733.074,,,18/1/2010,27336.64,Beo Crescent,169982,,"38A, Beo Crescent, Singapore 169982",D232402B83EFCDF5,20221012163049
103.856853966617,1.30733651651517,Berseh Food Centre,HUP Standard Upgrading,,32184.16,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176120532.jpg,166,1975,Existing,2568.95,,,5/3/2004,30619.27,Jalan Besar,208877,,"166, Jalan Besar, Singapore 208877",A7CCEB2CE987B820,20221012163049
103.712799765872,1.3452231627967,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),HUP Reconfiguration,,36373.79,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154766447.jpg,221A/B,2/1/1976,Existing,,,,1/8/2004,14587.57,Boon Lay Place,641221,,"Blk 221A/B, Boon Lay Place, Singapore 641221/642221",84F8C2B46CAB5C4D,20221012163049
103.850530969624,1.30620584090733,Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),HUP Standard Upgrading,,32059.13,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156313186.jpg,665,31/10/1980,Existing,,,,30/6/2009,29915.58,Buffalo Road,210665,,"Blk 665, Buffalo Road, Singapore 210665",D09ADF34C362D244,20221012163049
103.816992390295,1.28369258928085,Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),Opted out of HUP,,29569.73,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851995788.jpg,163,5/5/1980,Existing,,,,,26183.03,Bukit Merah Central,150163,,"Blk 163, Bukit Merah Central, Singapore 150163",16F0047AA3A7B03C,20221012163049
103.804489277779,1.28629777221659,Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),HUP Standard Upgrading,,29857.81,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267852344747.jpg,120,14/9/1978,Existing,,,,15/11/2010,24791.54,Bukit Merah Lane 1,150120,,"Blk 120, Bukit Merah Lane, Singapore 150120",98A3C26DD6CD2F81,20221012163049
103.822049361292,1.28550478314618,Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),HUP Standard Upgrading,,29770.11,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851251303.jpg,115,29/3/1973,Existing,,,,28/2/2012,26745.83,Bukit Merah View,151115,,"Blk 115, Bukit Merah View, Singapore 151115",7A2BDBF5830376A7,20221012163049
103.772489583206,1.37760053528611,Bukit Panjang Hawker Centre,New Centre,,39953.67,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bukit-panjang-hawker-centre.jpg,2,31/7/2015,Existing (new),4500,,,,21230.49,Bukit Panjang Ring Road,679947,,"2 Bukit Panjang Ring Road, Singapore 679947",2FEB0DCC8CCF59D4,20221012163049
