flat,park,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,top_school,top_school_dist,num_top_school_2km,hawker,hakwer_dist,num_hawker_2km
634 WOODLANDS RING RD,Admiralty Park,2.11,0,Admiralty Place,0.42,6,Admiralty Primary School,0.77,2,Kampung Admiralty Hawker Centre,0.48,1
476C CHOA CHU KANG AVE 5,Choa Chu Kang Park,2.04,0,Sunshine Place,0.14,5,South View Primary School,1.05,1,Bukit Batok West Hawker Centre,2.49,0
606 JURONG WEST ST 65,Jurong Central Park,0.96,1,Pioneer Mall,0.47,4,Frontier Primary School,0.15,2,Jurong West Hawker Centre,0.42,2
385 BT BATOK WEST AVE 5,Bukit Batok Town Park,0.76,1,HillV2,1.35,6,Dazhong Primary School,0.63,1,Bukit Batok West Hawker Centre,1.47,1
688D WOODLANDS DR 75,Admiralty Park,1.76,1,Admiralty Place,0.74,5,Riverside Primary School,0.77,3,Kampung Admiralty Hawker Centre,0.87,2
127 PASIR RIS ST 11,Pasir Ris Town Park,0.69,3,White Sands,0.95,5,Pasir Ris Primary School,1.11,3,Pasir Ris Central Hawker Centre,0.93,1
281 BISHAN ST 24,Bishan-Ang Mo Kio Park,1.27,3,Junction 8,0.9,6,Ai Tong School,1.34,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.86,8
671A CHOA CHU KANG CRES,Choa Chu Kang Park,1.1,1,Yew Tee Square,0.42,4,South View Primary School,2.27,0,Senja Hawker Centre,2.21,0
317B YISHUN AVE 9,Yishun Pond Park,0.77,3,Junction Nine,0.19,4,Chongfu School,0.62,3,Yishun Park Hawker Centre,1.03,2
819 TAMPINES ST 81,Sun Plaza Park,1.39,1,Our Tampines Hub,0.67,6,Tampines Primary School,0.82,5,Hawker Centre @ Our Tampines Hub,0.69,4
127C KIM TIAN RD,Tiong Bahru Park,0.88,5,Tiong Bahru Plaza,0.6,7,Radin Mas Primary School,0.97,2,Tiong Bahru Market,0.47,18
230 BT BATOK EAST AVE 3,Bukit Batok Town Park,1.09,2,West Mall,0.72,4,Keming Primary School,0.31,3,Bukit Batok West Hawker Centre,1.68,2
534 JELAPANG RD,Choa Chu Kang Park,1.92,1,Greenridge Shopping Centre,0.24,6,West Spring Primary School,0.6,3,Senja Hawker Centre,0.47,2
450 JURONG WEST ST 42,Jurong Central Park,1.84,3,Boon Lay Shopping Centre,0.82,3,Rulang Primary School,0.55,2,Jurong West Street 52 Blk 505,0.24,4
16 OUTRAM HILL,Pearl's Hill City Park,0.28,10,People's Park Complex,0.67,21,River Valley Primary School,0.86,2,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),0.37,14
166A YUNG KUANG RD,Japanese Garden,1.15,3,Taman Jurong Shopping Centre,0.43,3,Rulang Primary School,1.75,1,Taman Jurong Market and Food Centre,0.37,3
646 WOODLANDS RING RD,Admiralty Park,1.88,1,Admiralty Place,0.31,6,Admiralty Primary School,0.56,2,Kampung Admiralty Hawker Centre,0.26,1
766 CHOA CHU KANG NTH 5,Choa Chu Kang Park,0.18,1,Yew Tee Point,0.52,7,South View Primary School,1.37,2,Senja Hawker Centre,1.45,1
140 PETIR RD,Zhenghua Park,1.33,2,Hillion Mall,0.67,9,Bukit Panjang Primary School,0.21,3,Bukit Panjang Hawker Centre,0.46,2
871B TAMPINES ST 86,Sun Plaza Park,1.33,2,Our Tampines Hub,0.97,5,Tampines Primary School,1.53,2,Hawker Centre @ Our Tampines Hub,0.91,2
661A JURONG WEST ST 64,Jurong Central Park,0.41,1,Jurong Point,0.48,5,Frontier Primary School,0.62,3,Jurong West Hawker Centre,1.06,3
816B KEAT HONG LINK,Choa Chu Kang Park,1.79,1,Keat Hong Shopping Centre,0.48,8,South View Primary School,0.67,2,Senja Hawker Centre,1.86,1
401 SERANGOON AVE 1,Japanese Cemetery Park,2.15,0,NEX,0.51,4,Yangzheng Primary School,0.58,1,Woodleigh Village Hawker Centre,0.73,1
534 HOUGANG ST 52,Punggol Park,0.65,2,Hougang Green Shopping Mall,0.38,6,Xinmin Primary School,1.04,3,Buangkok Hawker Centre,0.62,2
93 PAYA LEBAR WAY,Kallang Riverside Park,2.79,0,Paya Lebar Square,0.66,2,Kong Hwa School,1.3,2,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),0.26,10
295 PUNGGOL CTRL,Punggol Waterway Park,1.01,2,Waterway Point,0.58,7,Punggol View Primary School,0.36,8,One Punggol Hawker Centre,0.7,3
868A TAMPINES AVE 8,Sun Plaza Park,1.3,2,Our Tampines Hub,0.87,5,Tampines Primary School,1.42,2,Hawker Centre @ Our Tampines Hub,0.82,2
44 OWEN RD,Toa Payoh Town Park,1.68,3,City Square Mall,0.82,13,Anglo-Chinese School (Junior),1.2,1,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),0.07,9
471 PASIR RIS DR 6,Pasir Ris Town Park,0.66,2,Downtown East,0.32,2,Pasir Ris Primary School,0.59,1,Pasir Ris Central Hawker Centre,0.7,1
946 TAMPINES AVE 4,Sun Plaza Park,0.93,2,Our Tampines Hub,0.23,6,Tampines Primary School,0.48,3,Hawker Centre @ Our Tampines Hub,0.28,2
10 JLN KUKOH,Pearl's Hill City Park,0.28,11,People's Park Complex,0.51,24,River Valley Primary School,0.87,1,Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),0.17,14
428 JURONG WEST AVE 1,Chinese Garden,1.33,2,Boon Lay Shopping Centre,1.54,2,Rulang Primary School,0.93,2,Jurong West Street 52 Blk 505,0.79,6
681B JURONG WEST CTRL 1,Jurong Central Park,0.81,1,Jurong Point,0.58,4,Westwood Primary School,0.56,3,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),0.87,3
336 TAMPINES ST 32,Tampines Eco Green,1.84,2,Eastpoint Mall,1.35,4,Chongzheng Primary School,1.02,3,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.9,1
50 TELOK BLANGAH DR,The Southern Ridges,0.58,5,Alexandra Retail Centre,0.98,6,Radin Mas Primary School,1.58,1,Telok Blangah Hawker Centre & Market,0.23,12
318 TAMPINES ST 33,Sun Plaza Park,1.6,2,Eastpoint Mall,1.03,6,Chongzheng Primary School,0.54,3,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.43,2
418C FERNVALE LINK,Sengkang Riverside Park,1.08,2,The Seletar Mall,0.54,6,Sengkang Green Primary School,0.68,3,Fernvale Hawker Centre & Market,0.45,4
237 HOUGANG ST 21,Japanese Cemetery Park,1.63,1,Hougang 1,0.13,5,Holy Innocents’ Primary School,1.3,2,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),0.33,2
111A DEPOT RD,Telok Blangah Hill Park,0.33,6,Alexandra Central,0.78,4,Radin Mas Primary School,1.85,1,Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),0.65,14
780B WOODLANDS CRES,Admiralty Park,0.8,1,Woodlands Mart,0.48,3,Riverside Primary School,0.23,2,Kampung Admiralty Hawker Centre,1.0,1
243 BT BATOK EAST AVE 5,Bukit Batok Town Park,0.88,2,West Mall,0.82,5,Keming Primary School,0.51,3,Bukit Batok West Hawker Centre,1.74,1
268C BOON LAY DR,Jurong Central Park,1.0,1,Boon Lay Shopping Centre,0.5,5,Westwood Primary School,0.83,3,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),0.57,3
308 YISHUN RING RD,Yishun Pond Park,0.38,4,Junction Nine,0.24,4,Huamin Primary School,0.62,3,Yishun Park Hawker Centre,0.83,2
115 HOUGANG AVE 1,Japanese Cemetery Park,1.85,1,Hougang 1,0.48,4,Holy Innocents’ Primary School,1.71,1,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),0.27,2
642 YISHUN ST 61,Yishun Pond Park,0.81,4,Wisteria Mall,0.54,3,Northland Primary School,0.39,3,Yishun Park Hawker Centre,0.93,2
662C JURONG WEST ST 64,Jurong Central Park,0.44,1,Jurong Point,0.38,5,Frontier Primary School,0.49,3,Jurong West Hawker Centre,0.85,3
171 LOR 1 TOA PAYOH,Toa Payoh Town Park,0.59,2,Balestier Hill Shopping Centre,0.56,3,CHIJ Primary (Toa Payoh),0.25,3,Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),0.85,9
225 YISHUN ST 21,Yishun Neighbourhood Park,0.33,4,Junction Nine,0.68,5,Chongfu School,0.55,3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),0.89,2
212 PETIR RD,Zhenghua Park,0.77,2,Fajar Shopping Centre,1.14,6,Bukit Panjang Primary School,0.72,3,Bukit Panjang Hawker Centre,0.5,1
320 ANG MO KIO AVE 1,Ang Mo Kio Town Garden East,0.61,3,AMK Hub,0.41,6,Ai Tong School,1.8,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.17,10
516 SERANGOON NTH AVE 4,Japanese Cemetery Park,0.77,1,myVillage At Serangoon Garden,1.13,5,Xinmin Primary School,1.09,1,Chomp Chomp Food Centre,1.08,5
44 MARINE CRES,East Coast Park,1.82,1,i12 Katong,0.9,3,Kong Hwa School,2.84,0,Marine Terrace Blk 50A (50A Marine Terrace),0.32,4
2 LOR 7 TOA PAYOH,Toa Payoh Town Park,1.09,1,HDB Hub,0.84,4,Pei Chun Public School,0.29,2,Toa Payoh Lorong 8 Blk 210,0.21,8
235 BT PANJANG RING RD,Zhenghua Park,1.37,2,Fajar Shopping Centre,0.6,6,Zhenghua Primary School,0.27,3,Bukit Panjang Hawker Centre,0.15,2
537 HOUGANG ST 52,Punggol Park,0.73,2,Hougang Green Shopping Mall,0.27,6,Xinmin Primary School,1.02,3,Buangkok Hawker Centre,0.59,2
549 CHOA CHU KANG ST 52,Choa Chu Kang Park,0.71,1,Limbang Shopping Centre,0.19,7,South View Primary School,1.39,1,Senja Hawker Centre,2.17,0
167C SIMEI LANE,Sun Plaza Park,2.48,0,Eastpoint Mall,0.71,3,Chongzheng Primary School,1.23,3,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.67,1
88 C'WEALTH CL,One-north Park,0.96,3,Rochester Mall,1.2,4,Fairfield Methodist School (Primary),1.6,1,Commonwealth Crescent Market,0.26,9
604C PUNGGOL RD,Punggol Waterway Park,0.87,3,Oasis Terraces,0.64,6,Punggol View Primary School,0.31,7,One Punggol Hawker Centre,0.59,2
475 JURONG WEST ST 41,Chinese Garden,1.07,2,Boon Lay Shopping Centre,1.42,2,Rulang Primary School,0.75,2,Jurong West Street 52 Blk 505,0.76,5
667B JURONG WEST ST 65,Jurong Central Park,0.77,1,Pioneer Mall,0.49,4,Frontier Primary School,0.52,3,Jurong West Hawker Centre,0.47,2
17 MARSILING LANE,Marsiling Park,0.25,2,Marsiling Mall,1.04,4,Admiralty Primary School,2.48,0,Marsiling Lane Blk 20/21,0.15,2
485 ADMIRALTY LINK,Admiralty Park,2.24,0,Sun Plaza,0.99,2,Wellington Primary School,0.87,2,Bukit Canberra Hawker Centre,1.1,1
243 SIMEI ST 5,Sun Plaza Park,2.09,0,Eastpoint Mall,0.25,7,Chongzheng Primary School,0.86,3,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.17,1
349 WOODLANDS AVE 3,Marsiling Park,1.28,1,Marsiling Mall,0.29,5,Admiralty Primary School,2.19,0,Marsiling Mall Hawker Centre,0.3,2
469B SENGKANG WEST WAY,Sengkang Riverside Park,1.1,1,The Seletar Mall,0.51,4,Fern Green Primary School,0.33,3,Fernvale Hawker Centre & Market,0.48,2
271A PUNGGOL WALK,Punggol Waterway Park,0.95,3,Waterway Point,0.36,6,Punggol Green Primary School,0.28,7,One Punggol Hawker Centre,0.7,3
673A JURONG WEST ST 65,Jurong Central Park,1.01,1,Pioneer Mall,0.53,4,Westwood Primary School,0.33,3,Jurong West Hawker Centre,0.54,2
326D ANCHORVALE RD,Sengkang Riverside Park,0.26,2,Compass One,0.9,8,Springdale Primary School,0.26,5,Anchorvale Village Hawker Centre,0.1,3
703 TAMPINES ST 71,Sun Plaza Park,0.7,2,Our Tampines Hub,0.46,5,Tampines Primary School,1.05,3,Hawker Centre @ Our Tampines Hub,0.4,2
140A CORPORATION DR,Japanese Garden,1.44,2,Taman Jurong Shopping Centre,0.88,1,Rulang Primary School,2.21,0,Taman Jurong Market and Food Centre,0.82,1
485C CHOA CHU KANG AVE 5,Choa Chu Kang Park,2.22,0,Sunshine Place,0.34,5,South View Primary School,1.11,1,Bukit Batok West Hawker Centre,2.19,0
889B WOODLANDS DR 50,Admiralty Park,1.82,1,Woodlands North Plaza,0.6,7,Admiralty Primary School,0.96,2,Kampung Admiralty Hawker Centre,0.9,3
5 SEMBAWANG RD,Yishun Park,1.47,3,Sembawang Shopping Centre,0.28,3,Wellington Primary School,1.17,2,Bukit Canberra Hawker Centre,0.85,2
340 WOODLANDS AVE 1,Marsiling Park,1.42,1,Marsiling Mall,0.3,5,Admiralty Primary School,2.46,0,Marsiling Mall Hawker Centre,0.3,2
628 YISHUN ST 61,Lower Seletar Reservoir Park,1.13,3,Wisteria Mall,0.48,3,Northland Primary School,0.55,2,Yishun Park Hawker Centre,1.16,2
545 BEDOK NTH ST 3,Bedok Town Park,0.52,1,Bedok Mall,0.75,2,Yu Neng Primary School,0.99,2,Bedok North Street 3 Blk 538,0.21,7
279 CHOA CHU KANG AVE 3,Choa Chu Kang Park,1.41,1,Keat Hong Shopping Centre,0.38,8,South View Primary School,0.33,1,Senja Hawker Centre,2.08,0
147 PASIR RIS ST 13,Pasir Ris Town Park,1.41,2,Downtown East,1.59,2,Pasir Ris Primary School,1.03,3,Pasir Ris Central Hawker Centre,1.63,1
543 CHOA CHU KANG ST 52,Choa Chu Kang Park,0.53,1,Limbang Shopping Centre,0.22,7,South View Primary School,1.35,1,Senja Hawker Centre,2.0,1
273C COMPASSVALE LINK,Punggol Park,0.78,3,Sengkang Grand Mall,0.27,7,Springdale Primary School,1.22,4,Buangkok Hawker Centre,0.34,3
617 CHOA CHU KANG NTH 7,Choa Chu Kang Park,0.95,1,Yew Tee Square,0.26,4,South View Primary School,2.08,0,Senja Hawker Centre,2.2,0
332 ANG MO KIO AVE 1,Ang Mo Kio Town Garden East,1.01,3,AMK Hub,0.92,5,Ai Tong School,2.11,0,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),0.4,10
186 PASIR RIS ST 11,Pasir Ris Town Park,1.05,3,Downtown East,1.27,3,Pasir Ris Primary School,0.89,3,Pasir Ris Central Hawker Centre,1.27,1
256 JURONG EAST ST 24,Chinese Garden,0.65,2,Westgate,1.21,4,Princess Elizabeth Primary School,0.62,2,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),0.1,3
278A COMPASSVALE BOW,Punggol Park,0.81,3,Sengkang Grand Mall,0.3,8,Xinmin Primary School,1.41,3,Buangkok Hawker Centre,0.24,4
178A RIVERVALE CRES,Sengkang Sculpture Park,1.58,2,Rivervale Mall,0.68,6,Horizon Primary School,1.24,5,Buangkok Hawker Centre,2.05,0
150 YISHUN ST 11,Yishun Neighbourhood Park,0.77,4,Northpoint City,0.43,5,Chongfu School,1.03,3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),0.57,2
17 JOO SENG RD,Japanese Cemetery Park,3.26,0,The Poiz,1.68,3,Yangzheng Primary School,1.98,1,Woodleigh Village Hawker Centre,1.11,5
285D TOH GUAN RD,Chinese Garden,1.55,2,IMM,0.35,4,Keming Primary School,1.36,2,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1.11,4
540 JURONG WEST AVE 1,Jurong Central Park,1.61,2,Boon Lay Shopping Centre,0.57,4,Rulang Primary School,0.55,2,Jurong West Street 52 Blk 505,0.36,4
79E TOA PAYOH CTRL,Toa Payoh Town Park,0.51,2,HDB Hub,0.3,5,Pei Chun Public School,0.65,2,Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),0.24,8
115A CANBERRA WALK,Yishun Park,0.92,2,Canberra Plaza,0.37,3,Wellington Primary School,0.96,2,Bukit Canberra Hawker Centre,0.79,2
980B BUANGKOK CRES,Japanese Cemetery Park,1.66,2,Buangkok Square,0.51,6,Xinmin Primary School,0.95,4,Ci Yuan Hawker Centre,0.52,3
167D PUNGGOL EAST,Pasir Ris Park,1.79,3,Punggol Plaza,0.17,5,Horizon Primary School,0.57,5,One Punggol Hawker Centre,1.86,1
127 PENDING RD,Zhenghua Park,1.37,2,Hillion Mall,0.66,7,Bukit Panjang Primary School,0.32,3,Bukit Panjang Hawker Centre,0.38,2
420 PASIR RIS DR 6,Pasir Ris Town Park,0.23,3,Downtown East,0.52,2,Pasir Ris Primary School,0.93,2,Pasir Ris Central Hawker Centre,0.39,1
110 HOUGANG AVE 1,Japanese Cemetery Park,1.83,1,Hougang 1,0.2,4,Holy Innocents’ Primary School,1.43,2,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),0.12,2
297 BT BATOK ST 22,Chinese Garden,1.66,3,West Mall,0.62,4,Princess Elizabeth Primary School,0.87,3,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1.08,3
169 HOUGANG AVE 1,Japanese Cemetery Park,2.09,0,Hougang 1,0.56,4,Holy Innocents’ Primary School,1.76,1,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),0.25,2
317 HOUGANG AVE 7,Punggol Park,1.38,1,Hougang Mall,0.85,5,Holy Innocents’ Primary School,0.32,2,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),1.35,4
233 BAIN ST,War Memorial Park,0.45,10,Bugis Junction,0.31,28,Anglo-Chinese School (Junior),1.95,1,Queen Street Blk 270 (Albert Centre),0.47,9
897C WOODLANDS DR 50,Admiralty Park,2.03,0,Vista Point,0.55,7,Admiralty Primary School,1.01,2,Kampung Admiralty Hawker Centre,0.86,2
601 SENJA RD,Choa Chu Kang Park,1.9,1,Junction 10,0.3,7,Zhenghua Primary School,0.8,4,Senja Hawker Centre,0.6,2
286 CHOA CHU KANG AVE 3,Choa Chu Kang Park,1.61,1,Sunshine Place,0.34,5,South View Primary School,0.57,1,Senja Hawker Centre,2.32,0
639 PASIR RIS DR 1,Pasir Ris Town Park,1.51,3,Pasir Ris West Plaza,0.52,3,Gongshang Primary School,2.38,0,Pasir Ris Central Hawker Centre,1.35,1
221 ANG MO KIO AVE 1,Bishan-Ang Mo Kio Park,0.38,3,Broadway Plaza,0.95,5,Ai Tong School,0.96,1,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),0.05,11
76 LOR LIMAU,Toa Payoh Town Park,0.93,1,HDB Hub,0.91,6,Pei Chun Public School,1.31,2,Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),0.18,12
451B BT BATOK WEST AVE 6,Bukit Batok Town Park,1.48,2,West Mall,0.68,2,Princess Elizabeth Primary School,0.47,3,Bukit Batok West Hawker Centre,0.35,3
720 TAMPINES ST 72,Sun Plaza Park,0.85,2,Our Tampines Hub,0.79,5,Tampines Primary School,1.38,3,Hawker Centre @ Our Tampines Hub,0.73,2
752 PASIR RIS ST 71,Pasir Ris Park,1.44,1,Pasir Ris West Plaza,0.28,2,Gongshang Primary School,2.79,0,Pasir Ris Central Hawker Centre,1.95,1
747C BEDOK RESERVOIR CRES,Bedok Town Park,0.27,1,Bedok Mall,1.45,2,Yu Neng Primary School,1.18,2,Bedok North Street 3 Blk 538,0.64,6
2 UPP ALJUNIED LANE,Kallang Riverside Park,3.19,0,The Poiz,1.36,2,Yangzheng Primary School,1.99,1,Woodleigh Village Hawker Centre,1.0,7
707 YISHUN AVE 5,Sembawang Park,0.43,4,Northpoint City,0.97,5,Chongfu School,1.66,3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),0.29,2
981C BUANGKOK CRES,Japanese Cemetery Park,1.7,2,Buangkok Square,0.49,6,Xinmin Primary School,1.07,4,Ci Yuan Hawker Centre,0.67,3
424 CANBERRA RD,Yishun Park,2.32,0,Sun Plaza,0.63,3,Wellington Primary School,0.45,1,Bukit Canberra Hawker Centre,0.68,1
655 YISHUN AVE 4,Yishun Pond Park,0.56,4,Wisteria Mall,0.56,3,Northland Primary School,0.24,3,Yishun Park Hawker Centre,0.6,2
442 PASIR RIS DR 6,Pasir Ris Town Park,0.68,3,Downtown East,0.82,2,Pasir Ris Primary School,0.66,2,Pasir Ris Central Hawker Centre,0.87,1
73 TELOK BLANGAH HTS,The Southern Ridges,0.35,5,Alexandra Retail Centre,0.88,6,Radin Mas Primary School,1.67,1,Telok Blangah Drive Blk 82 (Telok Blangah Market),0.24,13
102C PUNGGOL FIELD,Sengkang Sculpture Park,1.01,3,Rivervale Mall,0.73,6,Punggol View Primary School,0.71,8,One Punggol Hawker Centre,1.04,3
114 BISHAN ST 12,MacRitchie Reservoir Park,1.83,2,Junction 8,0.29,3,Pei Chun Public School,1.39,2,Toa Payoh Lorong 4 Blk 93,1.01,9
613A BEDOK RESERVOIR RD,Bedok Town Park,0.55,1,Bedok Mall,1.49,2,Yu Neng Primary School,1.61,3,Bedok Reservoir Road Blk 630,0.42,5
498B TAMPINES ST 45,Tampines Eco Green,1.2,3,White Sands,1.6,5,Gongshang Primary School,1.14,3,Pasir Ris Central Hawker Centre,1.58,1
584 WOODLANDS DR 16,Marsiling Park,2.6,0,Vista Point,0.21,7,Admiralty Primary School,1.56,1,Kampung Admiralty Hawker Centre,1.32,2
34 KIM CHENG ST,Pearl's Hill City Park,0.79,5,Tiong Bahru Plaza,0.48,11,River Valley Primary School,1.14,2,Tiong Bahru Market,0.09,18
493E TAMPINES ST 43,Tampines Eco Green,0.43,3,White Sands,1.12,7,Gongshang Primary School,0.66,4,Pasir Ris Central Hawker Centre,1.21,2
425 ANG MO KIO AVE 3,Ang Mo Kio Town Garden East,0.21,3,AMK Hub,0.35,4,Ai Tong School,2.27,0,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),0.51,11
272 BISHAN ST 24,Bishan-Ang Mo Kio Park,1.24,4,Thomson V,0.89,6,Ai Tong School,1.21,1,Shunfu Road Blk 320 (Shunfu Mart),0.8,6
516 JELAPANG RD,Choa Chu Kang Park,2.1,0,Greenridge Shopping Centre,0.25,6,West Spring Primary School,0.25,3,Senja Hawker Centre,0.67,2
14 DOVER CL EAST,One-north Park,0.64,1,Rochester Mall,0.32,2,Fairfield Methodist School (Primary),0.56,1,Ghim Moh Road Blk 20,0.67,7
59 JLN MA'MOR,Toa Payoh Town Park,1.06,1,HDB Hub,0.92,5,Pei Chun Public School,0.98,2,Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),0.61,11
104 BT BATOK CTRL,Bukit Batok Town Park,1.34,3,West Mall,0.26,4,Princess Elizabeth Primary School,0.73,3,Bukit Batok West Hawker Centre,0.92,3
18 TOH YI DR,Hindhede Nature Park,1.17,3,Beauty World Plaza,0.42,3,Pei Hwa Presbyterian Primary School,0.41,2,Bukit Timah Market,0.34,1
122A EDGEDALE PLAINS,Sengkang Sculpture Park,1.38,2,Punggol Plaza,0.45,6,Horizon Primary School,0.82,6,One Punggol Hawker Centre,1.69,1
322 CLEMENTI AVE 5,West Coast Park,1.26,2,Grantral Mall,0.25,4,Pei Hwa Presbyterian Primary School,2.66,0,Clementi Ave 3 Blk 448,0.38,5
267 YISHUN ST 22,Yishun Neighbourhood Park,0.47,4,Junction Nine,0.51,4,Chongfu School,0.15,3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1.35,2
809A CHOA CHU KANG AVE 1,Choa Chu Kang Park,1.93,1,Keat Hong Shopping Centre,0.25,6,South View Primary School,0.73,2,Senja Hawker Centre,2.22,0
778 WOODLANDS DR 60,Admiralty Park,0.86,1,Woodlands Mart,0.25,6,Riverside Primary School,0.23,2,Kampung Admiralty Hawker Centre,0.82,1
208B PUNGGOL PL,Sengkang Sculpture Park,0.87,3,Waterway Point,0.57,7,Punggol Green Primary School,0.26,8,One Punggol Hawker Centre,0.86,3
557 JURONG WEST ST 42,Japanese Garden,2.04,0,Boon Lay Shopping Centre,1.09,1,Rulang Primary School,0.8,1,Jurong West Street 52 Blk 505,0.48,3
821 TAMPINES ST 81,Sun Plaza Park,1.54,1,Our Tampines Hub,0.83,5,Tampines Primary School,1.05,5,Hawker Centre @ Our Tampines Hub,0.83,4
733 WOODLANDS CIRCLE,Admiralty Park,1.18,1,Woodlands Mart,0.22,6,Admiralty Primary School,0.19,2,Kampung Admiralty Hawker Centre,0.47,1
507 JURONG WEST ST 52,Japanese Garden,1.63,3,Boon Lay Shopping Centre,0.73,3,Rulang Primary School,0.25,1,Jurong West Street 52 Blk 505,0.07,4
21 TELOK BLANGAH CRES,Mount Faber Park,0.42,4,Tiong Bahru Plaza,1.3,3,Radin Mas Primary School,0.41,1,Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),0.26,14
245 TAMPINES ST 21,Sun Plaza Park,0.7,2,Tampines 1,0.2,6,Tampines Primary School,0.47,3,Hawker Centre @ Our Tampines Hub,0.76,2
20 HOLLAND DR,One-north Park,1.86,1,The Star Vista,1.38,5,Fairfield Methodist School (Primary),1.91,1,Ghim Moh Road Blk 20,0.99,4
137 POTONG PASIR AVE 3,Toa Payoh Town Park,2.03,0,The Poiz,0.29,2,Pei Chun Public School,1.21,2,Woodleigh Village Hawker Centre,0.96,10
133 JLN BT MERAH,Tiong Bahru Park,0.92,5,Tiong Bahru Plaza,0.75,7,Radin Mas Primary School,0.62,2,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),0.16,16
296C CHOA CHU KANG AVE 2,Choa Chu Kang Park,1.88,1,Keat Hong Shopping Centre,0.25,5,South View Primary School,0.72,1,Bukit Batok West Hawker Centre,2.36,0
686C WOODLANDS DR 73,Admiralty Park,1.79,1,Admiralty Place,0.59,6,Admiralty Primary School,0.76,2,Kampung Admiralty Hawker Centre,0.73,2
759 PASIR RIS ST 71,Pasir Ris Park,1.52,1,Pasir Ris West Plaza,0.53,2,Gongshang Primary School,2.8,0,Pasir Ris Central Hawker Centre,2.12,0
24 MARSILING DR,Marsiling Park,0.39,2,Marsiling Mall,1.23,3,Admiralty Primary School,3.11,0,Marsiling Lane Blk 20/21,0.62,2
361 HOUGANG AVE 5,Punggol Park,0.94,1,Hougang Mall,0.43,6,Holy Innocents’ Primary School,0.33,2,Buangkok Hawker Centre,1.51,4
315A PUNGGOL WAY,Punggol Waterway Park,0.91,3,Waterway Point,0.61,5,Valour Primary School,0.28,6,One Punggol Hawker Centre,0.86,3
28 HOY FATT RD,Telok Blangah Hill Park,0.88,5,Alexandra Central,0.54,5,Radin Mas Primary School,2.04,0,Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),0.22,15
110 BEDOK NTH RD,Bedok Town Park,1.41,1,Bedok Mall,0.92,2,Red Swastika School,0.19,2,Bedok North Street 4 Blk 85 (85 Fengshan Centre),0.43,8
255 YISHUN RING RD,Yishun Pond Park,0.72,4,Junction Nine,0.18,5,Chongfu School,0.48,3,Yishun Park Hawker Centre,1.12,2
172C EDGEDALE PLAINS,Sengkang Sculpture Park,1.75,3,Punggol Plaza,0.15,6,Horizon Primary School,0.47,6,One Punggol Hawker Centre,1.65,1
128C CANBERRA ST,Yishun Park,0.4,3,Canberra Plaza,0.42,5,Chongfu School,0.92,2,Bukit Canberra Hawker Centre,1.36,2
27 TOA PAYOH EAST,Toa Payoh Town Park,0.96,1,HDB Hub,0.73,4,Pei Chun Public School,0.51,2,Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),0.34,12
