flat,park,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,top_school,top_school_dist,num_top_school_2km,hawker,hakwer_dist,num_hawker_2km
166 TAMPINES ST 12,Sun Plaza Park,1.15,2,Tampines Mall,0.45,6,Tampines Primary School,0.29,3,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),0.41,2
625B WOODLANDS DR 52,Admiralty Park,2.32,0,Admiralty Place,0.75,6,Admiralty Primary School,1.02,2,Kampung Admiralty Hawker Centre,0.72,1
710 WOODLANDS DR 70,Admiralty Park,1.47,1,Admiralty Place,0.52,6,Admiralty Primary School,0.36,2,Kampung Admiralty Hawker Centre,0.38,1
528 BT BATOK ST 51,Bukit Batok Town Park,0.53,2,West Mall,0.73,4,Dazhong Primary School,0.4,3,Bukit Batok West Hawker Centre,1.04,1
430 HOUGANG AVE 6,Punggol Park,0.43,1,Hougang Mall,0.32,7,Holy Innocents’ Primary School,0.93,2,Buangkok Hawker Centre,0.79,3
410 SERANGOON CTRL,Japanese Cemetery Park,1.97,1,NEX,0.37,4,Yangzheng Primary School,0.59,1,Woodleigh Village Hawker Centre,0.9,5
512 PASIR RIS ST 52,Pasir Ris Town Park,1.05,3,White Sands,0.73,3,Gongshang Primary School,2.1,0,Pasir Ris Central Hawker Centre,0.88,1
723 YISHUN ST 71,Sembawang Park,0.51,5,Northpoint City,0.76,5,Northland Primary School,1.34,3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),0.62,2
102 GANGSA RD,Zhenghua Park,1.66,2,Bukit Panjang Plaza,0.43,7,Zhenghua Primary School,0.14,3,Bukit Panjang Hawker Centre,0.51,2
867 WOODLANDS ST 83,Admiralty Park,1.34,3,Woodlands North Plaza,0.25,7,Admiralty Primary School,0.77,2,Kampung Admiralty Hawker Centre,0.88,3
134 MARSILING RD,Marsiling Park,0.71,2,Marsiling Mall,0.44,5,Admiralty Primary School,2.61,0,Marsiling Mall Hawker Centre,0.43,2
606 HOUGANG AVE 4,Japanese Cemetery Park,1.16,2,Hougang Mall,0.89,6,Xinmin Primary School,0.33,2,Ci Yuan Hawker Centre,0.62,4
233 ANG MO KIO AVE 3,Bishan-Ang Mo Kio Park,0.27,3,Broadway Plaza,1.13,5,Ai Tong School,0.87,1,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),0.29,8
112 WOODLANDS ST 13,Marsiling Park,0.85,2,Marsiling Mall,0.57,5,Admiralty Primary School,2.1,0,Marsiling Mall Hawker Centre,0.57,2
32 GHIM MOH LINK,One-north Park,1.04,1,The Star Vista,0.57,2,Fairfield Methodist School (Primary),1.06,1,Ghim Moh Road Blk 20,0.43,7
161 HOUGANG ST 11,Japanese Cemetery Park,1.43,1,Upper Serangoon Shopping Centre,0.11,4,Yangzheng Primary School,1.2,1,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),1.09,5
14 TOH YI DR,Bukit Batok Nature Park,1.27,3,Beauty World Plaza,0.51,3,Pei Hwa Presbyterian Primary School,0.41,2,Bukit Timah Market,0.38,1
217 PETIR RD,Zhenghua Park,0.93,2,Fajar Shopping Centre,1.0,8,Bukit Panjang Primary School,0.49,3,Bukit Panjang Hawker Centre,0.32,2
854 YISHUN RING RD,Lower Seletar Reservoir Park,1.03,3,Wisteria Mall,0.46,3,Northland Primary School,0.62,2,Yishun Park Hawker Centre,1.24,2
526 BEDOK NTH ST 3,Bedok Town Park,0.75,1,Bedok Mall,0.9,2,Yu Neng Primary School,0.34,2,Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),0.2,8
467 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.92,2,myVillage At Serangoon Garden,0.93,5,Yangzheng Primary School,2.27,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.32,9
305A ANCHORVALE LINK,Sengkang Riverside Park,1.11,3,Sengkang Grand Mall,0.78,8,Springdale Primary School,0.72,5,Buangkok Hawker Centre,0.82,4
509 JELAPANG RD,Zhenghua Park,2.3,0,Greenridge Shopping Centre,0.35,6,West Spring Primary School,0.44,3,Senja Hawker Centre,0.89,2
830 WOODLANDS ST 83,Admiralty Park,1.72,3,Woodlands North Plaza,0.4,7,Admiralty Primary School,1.09,2,Kampung Admiralty Hawker Centre,1.11,3
543 BEDOK NTH ST 3,Bedok Town Park,0.46,1,Bedok Mall,0.84,2,Yu Neng Primary School,1.07,2,Bedok North Street 3 Blk 538,0.24,7
716 YISHUN ST 71,Sembawang Park,0.24,5,Northpoint City,1.02,5,Northland Primary School,1.6,3,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),0.6,2
