flat,top_school,top_school_dist,num_top_school_2km
414 ANG MO KIO AVE 10,Yangzheng Primary School,2.348714272971676,0
434 ANG MO KIO AVE 10,Ai Tong School,2.4134450863274144,0
346 ANG MO KIO AVE 3,Ai Tong School,1.98712502159485,1
638 ANG MO KIO AVE 6,Ai Tong School,2.49317766879374,0
101 ANG MO KIO AVE 3,Ai Tong School,1.2884499207176214,1
354 ANG MO KIO ST 32,Ai Tong School,2.1465279605872776,0
648 ANG MO KIO AVE 5,Ai Tong School,2.2866901935891466,0
351 ANG MO KIO ST 32,Ai Tong School,1.96782412498507,1
716 ANG MO KIO AVE 6,Ai Tong School,1.8696839393513622,1
700A ANG MO KIO AVE 6,Ai Tong School,1.7857110783507626,1
596D ANG MO KIO ST 52,Ai Tong School,2.361176568553843,0
460 ANG MO KIO AVE 10,Yangzheng Primary School,2.2224490562202854,0
700B ANG MO KIO AVE 6,Ai Tong School,1.7488523318814724,1
437 ANG MO KIO AVE 10,Ai Tong School,2.3669586186978426,0
253 ANG MO KIO ST 21,Ai Tong School,0.9983831723593277,1
596C ANG MO KIO ST 52,Ai Tong School,2.281873518690917,0
316A ANG MO KIO ST 31,Ai Tong School,1.6132366108706357,1
439 ANG MO KIO AVE 10,Ai Tong School,2.3645443324111306,0
350 ANG MO KIO ST 32,Ai Tong School,1.925906818432269,1
353 ANG MO KIO ST 32,Ai Tong School,2.104637410855867,0
700C ANG MO KIO AVE 6,Ai Tong School,1.7904903338431044,1
620 BEDOK RESERVOIR RD,Yu Neng Primary School,1.6069170904060162,3
618 BEDOK RESERVOIR RD,Yu Neng Primary School,1.6840026765025111,3
504 BEDOK NTH ST 3,Yu Neng Primary School,0.2238381950454244,2
503 BEDOK NTH ST 3,Yu Neng Primary School,0.26836913520317823,2
525 BEDOK NTH ST 3,Yu Neng Primary School,0.3105752457038728,2
709 BEDOK RESERVOIR RD,Yu Neng Primary School,1.1030518848638655,2
74 BEDOK NTH RD,Red Swastika School,1.138974481435598,3
20 CHAI CHEE RD,Yu Neng Primary School,1.3308742821085227,2
528 BEDOK NTH ST 3,Yu Neng Primary School,0.49221873336131183,2
3 BEDOK STH AVE 1,Yu Neng Primary School,1.3290301378084854,3
109 BEDOK NTH RD,Red Swastika School,0.23194639594990887,3
632 BEDOK RESERVOIR RD,Maha Bodhi School,1.4834596850652026,1
21 CHAI CHEE RD,Yu Neng Primary School,1.405179273236427,2
89 BEDOK NTH ST 4,Red Swastika School,0.4511003114136892,4
534 BEDOK NTH ST 3,Yu Neng Primary School,0.8214669277976835,2
614 BEDOK RESERVOIR RD,Yu Neng Primary School,1.7167772758932993,3
609 BEDOK RESERVOIR RD,Maha Bodhi School,1.2866332891701382,1
136 BEDOK RESERVOIR RD,Maha Bodhi School,1.4727343497244434,1
76 BEDOK NTH RD,Red Swastika School,1.0713577003407362,3
529 BEDOK NTH ST 3,Yu Neng Primary School,0.624923014756829,2
126 BEDOK NTH ST 2,Red Swastika School,0.8282773187547954,3
18 BEDOK STH RD,Temasek Primary School,1.2445903384028474,3
57 CHAI CHEE DR,Yu Neng Primary School,1.5840658448697453,2
37 CHAI CHEE AVE,Yu Neng Primary School,1.1441413699450391,2
110 BEDOK NTH RD,Red Swastika School,0.18533606194357896,2
4 BEDOK STH AVE 1,Yu Neng Primary School,1.2682990685124407,3
424 BEDOK NTH AVE 1,Yu Neng Primary School,0.7968378371511755,2
158 BEDOK STH AVE 3,Temasek Primary School,0.12685706015756096,1
616 BEDOK RESERVOIR RD,Maha Bodhi School,1.5683540843256258,2
55 CHAI CHEE DR,Yu Neng Primary School,1.6556250263926648,3
536 BEDOK NTH ST 3,Yu Neng Primary School,0.9972388918419283,2
57 NEW UPP CHANGI RD,Temasek Primary School,0.8507826152185256,3
104 BEDOK NTH AVE 4,Red Swastika School,0.2676444054464462,4
92 BEDOK NTH AVE 4,Red Swastika School,0.7970490636892094,4
701 BEDOK RESERVOIR RD,Yu Neng Primary School,1.5306275444798656,2
103 BEDOK RESERVOIR RD,Maha Bodhi School,0.9001213844800785,1
218 BEDOK NTH ST 1,Red Swastika School,0.7433760284451325,3
402 BEDOK NTH AVE 3,Red Swastika School,0.393530773312811,3
102 BEDOK NTH AVE 4,Red Swastika School,0.34993943794091087,3
116 BEDOK NTH RD,Red Swastika School,0.5363980345736721,3
425 BEDOK NTH RD,Yu Neng Primary School,0.6058497426244714,2
208 NEW UPP CHANGI RD,Yu Neng Primary School,0.9133597451060966,3
554 BEDOK NTH ST 3,Yu Neng Primary School,0.46362839728913857,2
419 BEDOK NTH ST 1,Yu Neng Primary School,0.8850576831615123,2
412 BEDOK NTH AVE 2,Yu Neng Primary School,0.5217878182910496,2
111 BEDOK RESERVOIR RD,Maha Bodhi School,0.9898711773736883,1
36 BEDOK STH AVE 2,Temasek Primary School,0.9063920825107797,3
23 BEDOK STH AVE 1,Yu Neng Primary School,1.168464103687446,3
42 CHAI CHEE ST,Yu Neng Primary School,0.9617608142365379,2
103 BEDOK NTH AVE 4,Red Swastika School,0.36447683750291276,4
151 BEDOK RESERVOIR RD,Maha Bodhi School,1.3848344374697592,1
56 CHAI CHEE DR,Yu Neng Primary School,1.5819172820985732,2
80 BEDOK NTH RD,Red Swastika School,0.9331167259175592,3
602 BEDOK RESERVOIR RD,Maha Bodhi School,1.1486706501967712,1
140 BEDOK RESERVOIR RD,Maha Bodhi School,1.520979634086195,1
35 CHAI CHEE AVE,Yu Neng Primary School,1.2083170839602808,2
108 BEDOK RESERVOIR RD,Maha Bodhi School,0.9209591989874228,1
5 BEDOK STH AVE 2,Red Swastika School,1.312004235244576,3
135 BEDOK RESERVOIR RD,Maha Bodhi School,1.3517348568890841,1
132 BEDOK RESERVOIR RD,Maha Bodhi School,1.2640896042537577,1
613 BEDOK RESERVOIR RD,Yu Neng Primary School,1.696879306907908,3
532 BEDOK NTH ST 3,Yu Neng Primary School,0.7528662461079699,2
61 CHAI CHEE RD,Yu Neng Primary School,1.5981741579189181,2
619 BEDOK RESERVOIR RD,Yu Neng Primary School,1.6073194221129148,3
201 BEDOK NTH ST 1,Yu Neng Primary School,0.9663151266329991,2
43 CHAI CHEE ST,Yu Neng Primary School,0.94725721004596,2
508 BEDOK NTH AVE 3,Yu Neng Primary School,0.06829119494371978,2
