flat,station_name,station_dist,num_station_2km
460 ANG MO KIO AVE 10,Ang Mo Kio,1.3886654909458036,2
700B ANG MO KIO AVE 6,Ang Mo Kio,0.1167127350736591,5
437 ANG MO KIO AVE 10,Ang Mo Kio,0.7371990247855901,3
253 ANG MO KIO ST 21,Bishan,0.5082175091622068,6
596C ANG MO KIO ST 52,Ang Mo Kio,0.42466351888600545,3
316A ANG MO KIO ST 31,Ang Mo Kio,0.5394421009876743,4
439 ANG MO KIO AVE 10,Ang Mo Kio,0.8040734060556125,4
350 ANG MO KIO ST 32,Ang Mo Kio,0.7336777027554716,4
353 ANG MO KIO ST 32,Ang Mo Kio,0.7961329442757196,4
700C ANG MO KIO AVE 6,Ang Mo Kio,0.06979626348148618,3
620 BEDOK RESERVOIR RD,Bedok Reservoir,0.3865327944524541,5
618 BEDOK RESERVOIR RD,Bedok Reservoir,0.537719609426107,5
504 BEDOK NTH ST 3,Bedok North,0.8509955302424989,5
503 BEDOK NTH ST 3,Bedok North,0.8274766469178677,5
525 BEDOK NTH ST 3,Bedok North,0.9370145580911051,5
709 BEDOK RESERVOIR RD,Bedok Reservoir,0.2301164475820649,3
74 BEDOK NTH RD,Tanah Merah,0.4896857289036109,4
20 CHAI CHEE RD,Bedok North,0.4474458919665738,4
528 BEDOK NTH ST 3,Bedok Reservoir,0.830597520080929,4
3 BEDOK STH AVE 1,Bedok,0.6530914351019094,3
109 BEDOK NTH RD,Bedok North,1.0834147665845963,6
632 BEDOK RESERVOIR RD,Bedok Reservoir,0.8566317034958839,6
21 CHAI CHEE RD,Bedok North,0.5046208630324966,4
89 BEDOK NTH ST 4,Tanah Merah,0.9564218989733856,5
534 BEDOK NTH ST 3,Bedok Reservoir,0.6044244247125847,3
614 BEDOK RESERVOIR RD,Bedok Reservoir,0.6052477003878145,5
609 BEDOK RESERVOIR RD,Bedok Reservoir,1.0379302588488941,6
136 BEDOK RESERVOIR RD,Bedok Reservoir,0.8388932621065868,5
76 BEDOK NTH RD,Tanah Merah,0.47224811670091543,5
529 BEDOK NTH ST 3,Bedok Reservoir,0.7097754036759034,4
126 BEDOK NTH ST 2,Tanah Merah,0.8164389553289366,5
18 BEDOK STH RD,Bedok,0.8807246524627467,3
57 CHAI CHEE DR,Bedok North,0.7358751386366822,4
37 CHAI CHEE AVE,Bedok North,0.14221037834551978,4
110 BEDOK NTH RD,Bedok North,1.1035315051465269,6
4 BEDOK STH AVE 1,Bedok,0.6514254003710022,3
424 BEDOK NTH AVE 1,Bedok North,0.21949170750192498,4
158 BEDOK STH AVE 3,Tanah Merah,1.2020971476882645,1
616 BEDOK RESERVOIR RD,Bedok Reservoir,0.795864611990482,5
55 CHAI CHEE DR,Bedok North,0.877973078847583,4
536 BEDOK NTH ST 3,Bedok Reservoir,0.43285572547063317,4
57 NEW UPP CHANGI RD,Tanah Merah,0.7750151375440832,4
104 BEDOK NTH AVE 4,Tanah Merah,1.1375606830165028,6
92 BEDOK NTH AVE 4,Tanah Merah,0.6247198107332209,5
701 BEDOK RESERVOIR RD,Bedok Reservoir,0.22699144634517077,4
103 BEDOK RESERVOIR RD,Kaki Bukit,1.0409612428372146,6
218 BEDOK NTH ST 1,Bedok,0.7257581926825307,4
402 BEDOK NTH AVE 3,Bedok North,0.877165107239329,5
102 BEDOK NTH AVE 4,Tanah Merah,1.0775789651820395,6
116 BEDOK NTH RD,Tanah Merah,0.9108289992983234,5
425 BEDOK NTH RD,Bedok North,0.3965910937566035,4
208 NEW UPP CHANGI RD,Bedok,0.3776657054098218,4
554 BEDOK NTH ST 3,Bedok North,0.6895662699954437,4
419 BEDOK NTH ST 1,Bedok North,0.1461341615964488,4
412 BEDOK NTH AVE 2,Bedok North,0.5579674870564465,5
111 BEDOK RESERVOIR RD,Kaki Bukit,1.0429793168167445,6
36 BEDOK STH AVE 2,Bedok,1.2149509740372015,3
23 BEDOK STH AVE 1,Bedok,0.5678223820499777,4
42 CHAI CHEE ST,Bedok North,0.2016734104572449,4
103 BEDOK NTH AVE 4,Tanah Merah,1.0489582878298438,6
151 BEDOK RESERVOIR RD,Bedok Reservoir,1.0030319568462402,4
56 CHAI CHEE DR,Bedok North,0.7607816971036598,4
80 BEDOK NTH RD,Tanah Merah,0.6248018875363166,5
602 BEDOK RESERVOIR RD,Kembangan,1.0784083641495217,7
140 BEDOK RESERVOIR RD,Bedok Reservoir,0.8112964089870769,5
35 CHAI CHEE AVE,Bedok North,0.2080034638166041,4
108 BEDOK RESERVOIR RD,Kaki Bukit,0.9514226531589881,6
5 BEDOK STH AVE 2,Bedok,0.7666898671870527,3
135 BEDOK RESERVOIR RD,Bedok Reservoir,0.9599063045439764,6
132 BEDOK RESERVOIR RD,Bedok Reservoir,1.047531673139411,5
613 BEDOK RESERVOIR RD,Bedok Reservoir,0.6312395804407636,5
532 BEDOK NTH ST 3,Bedok Reservoir,0.5933733399110249,4
61 CHAI CHEE RD,Bedok North,0.7031721629311682,5
619 BEDOK RESERVOIR RD,Bedok Reservoir,0.4512874757694888,5
201 BEDOK NTH ST 1,Bedok North,0.15615757071356842,4
43 CHAI CHEE ST,Bedok North,0.24444585563864332,4
508 BEDOK NTH AVE 3,Bedok North,0.9846002846243063,5
43 BEDOK STH RD,Tanah Merah,1.0196753766227733,3
170 BEDOK STH RD,Tanah Merah,0.9771398048965562,2
704 BEDOK RESERVOIR RD,Bedok Reservoir,0.03567712240241137,3
171 BEDOK STH RD,Tanah Merah,0.9607185377412579,3
35 BEDOK STH AVE 2,Tanah Merah,1.0671040953265791,3
82 BEDOK NTH RD,Tanah Merah,0.6361989273796909,5
428 BEDOK NTH RD,Bedok North,0.3438057407052732,3
104 BEDOK RESERVOIR RD,Kaki Bukit,1.0595669067009723,6
120 BEDOK RESERVOIR RD,Kaki Bukit,0.9709826993201417,6
611 BEDOK RESERVOIR RD,Bedok Reservoir,0.8416984939433574,6
545 BEDOK NTH ST 3,Bedok North,0.4978327197758175,4
101 BEDOK RESERVOIR RD,Kembangan,1.0105146756812367,6
612 BEDOK RESERVOIR RD,Bedok Reservoir,0.7307350629856445,5
