flat,park,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,top_school,top_school_dist,num_top_school_2km,hawker,hakwer_dist,num_hawker_2km,station_name,station_dist,num_station_2km,station_name_2027_onwards,station_dist_2027_onwards,num_station_2km_2027_onwards,num_of_new_stations_added_here
264 BOON LAY DR,Jurong Central Park,0.89,1,Boon Lay Shopping Centre,0.62,5,Westwood Primary School,0.72,3,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),0.66,3,Boon Lay,0.4,2,Boon Lay,0.4,7,5
689 JURONG WEST CTRL 1,Jurong Central Park,0.37,1,Jurong Point,0.12,5,Frontier Primary School,0.84,3,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),0.9,4,Boon Lay,0.84,2,Jurong West,0.2,7,5
453 JURONG WEST ST 42,Jurong Central Park,1.81,3,Boon Lay Shopping Centre,0.79,3,Rulang Primary School,0.52,2,Jurong West Street 52 Blk 505,0.22,4,Boon Lay,0.93,2,Hong Kah,0.13,4,2
620 JURONG WEST ST 65,Jurong Central Park,1.01,1,Pioneer Mall,0.25,4,Frontier Primary School,0.53,2,Jurong West Hawker Centre,0.23,2,Pioneer,0.99,2,Jurong West,0.68,6,4
644 JURONG WEST ST 61,Jurong Central Park,1.3,1,Pioneer Mall,0.25,4,Frontier Primary School,0.49,2,Jurong West Hawker Centre,0.22,2,Pioneer,0.77,2,Pioneer,0.77,6,4
266 BOON LAY DR,Jurong Central Park,0.9,1,Boon Lay Shopping Centre,0.68,4,Westwood Primary School,0.65,3,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),0.73,3,Boon Lay,0.46,2,Jurong West,0.4,7,5
452 JURONG WEST ST 42,Japanese Garden,1.83,3,Boon Lay Shopping Centre,0.89,3,Rulang Primary School,0.54,1,Jurong West Street 52 Blk 505,0.21,4,Boon Lay,1.04,2,Hong Kah,0.12,5,3
352 KANG CHING RD,Japanese Garden,0.99,3,Taman Jurong Shopping Centre,0.5,3,Rulang Primary School,0.84,1,Taman Jurong Market and Food Centre,0.55,4,Lakeside,1.36,5,Corporation,0.76,9,4
468 JURONG WEST ST 41,Japanese Garden,1.43,3,Boon Lay Shopping Centre,0.93,3,Rulang Primary School,0.3,1,Jurong West Street 52 Blk 505,0.26,4,Boon Lay,1.14,4,Hong Kah,0.32,8,4
662D JURONG WEST ST 64,Jurong Central Park,0.42,1,Jurong Point,0.4,5,Frontier Primary School,0.51,3,Jurong West Hawker Centre,0.9,3,Pioneer,0.89,2,Enterprise,0.35,8,6
603 JURONG WEST ST 62,Jurong Central Park,0.84,1,Pioneer Mall,0.47,4,Frontier Primary School,0.26,2,Jurong West Hawker Centre,0.43,2,Pioneer,0.75,2,Enterprise,0.59,6,4
662C JURONG WEST ST 64,Jurong Central Park,0.44,1,Jurong Point,0.38,5,Frontier Primary School,0.49,3,Jurong West Hawker Centre,0.85,3,Pioneer,0.89,2,Enterprise,0.39,8,6
664D JURONG WEST ST 64,Jurong Central Park,0.58,1,Jurong Point,0.42,4,Frontier Primary School,0.43,3,Jurong West Hawker Centre,0.65,2,Pioneer,0.9,2,Jurong West,0.5,6,4
405 JURONG WEST ST 42,Chinese Garden,1.83,2,Boon Lay Shopping Centre,1.33,1,Rulang Primary School,0.89,1,Jurong West Street 52 Blk 505,0.61,3,Boon Lay,1.47,3,Hong Kah,0.54,5,2
726 JURONG WEST AVE 5,Jurong Central Park,1.48,1,Gek Poh Shopping Centre,0.32,4,Westwood Primary School,0.4,2,Jurong West Hawker Centre,0.52,2,Pioneer,1.46,2,Gek Poh,0.35,7,5
690 JURONG WEST CTRL 1,Jurong Central Park,0.38,1,Jurong Point,0.17,5,Frontier Primary School,0.94,3,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),0.8,4,Boon Lay,0.75,2,Jurong West,0.19,7,5
680B JURONG WEST CTRL 1,Jurong Central Park,0.81,1,Jurong Point,0.59,4,Westwood Primary School,0.59,3,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),0.83,3,Boon Lay,0.6,2,Jurong West,0.27,7,5
664A JURONG WEST ST 64,Jurong Central Park,0.52,1,Jurong Point,0.35,5,Frontier Primary School,0.5,3,Jurong West Hawker Centre,0.7,2,Pioneer,0.97,2,Jurong West,0.44,6,4
549 JURONG WEST ST 42,Jurong Central Park,1.87,1,Boon Lay Shopping Centre,0.83,2,Rulang Primary School,0.73,2,Jurong West Street 52 Blk 505,0.45,3,Boon Lay,0.91,1,Hong Kah,0.37,4,3
677A JURONG WEST ST 64,Jurong Central Park,0.89,1,Jurong Point,0.66,4,Westwood Primary School,0.53,3,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),0.86,3,Boon Lay,0.61,2,Jurong West,0.34,7,5
686B JURONG WEST CTRL 1,Jurong Central Park,0.57,1,Jurong Point,0.32,5,Westwood Primary School,0.73,3,Jurong West Hawker Centre,0.8,3,Boon Lay,0.86,2,Jurong West,0.12,7,5
686C JURONG WEST CTRL 1,Jurong Central Park,0.61,1,Jurong Point,0.36,5,Westwood Primary School,0.69,3,Jurong West Hawker Centre,0.78,3,Boon Lay,0.86,2,Jurong West,0.13,7,5
761 JURONG WEST ST 74,Jurong Central Park,1.53,1,Gek Poh Shopping Centre,0.19,4,Westwood Primary School,0.24,2,Jurong West Hawker Centre,0.89,2,Boon Lay,1.23,2,Gek Poh,0.09,6,4
