flat,park,park_dist,num_park_2km,mall,mall_dist,num_mall_2km,top_school,top_school_dist,num_top_school_2km,hawker,hakwer_dist,num_hawker_2km,station_name,station_dist,num_station_2km,station_name_2027_onwards,station_dist_2027_onwards,num_station_2km_2027_onwards,num_of_new_stations_added_here
172 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.72,3,Broadway Plaza,1.1,3,Ai Tong School,1.61,1,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),0.31,7,Mayflower,0.41,6,Mayflower,0.41,7,1
510 ANG MO KIO AVE 8,Ang Mo Kio Town Garden East,0.34,3,Jubilee Square,0.23,3,Ai Tong School,2.28,0,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.31,9,Ang Mo Kio,0.47,3,Ang Mo Kio,0.47,6,3
610 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.72,3,Broadway Plaza,1.12,3,Ai Tong School,2.19,0,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),0.25,8,Mayflower,0.74,6,Mayflower,0.74,7,1
474 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,1.21,1,myVillage At Serangoon Garden,0.84,5,Yangzheng Primary School,1.95,1,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),0.29,7,Lorong Chuan,1.35,2,Teck Ghee,0.85,5,3
604 ANG MO KIO AVE 5,Ang Mo Kio Town Garden West,1.0,3,Broadway Plaza,1.41,3,Ai Tong School,2.16,0,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),0.54,6,Yio Chu Kang,0.42,6,Yio Chu Kang,0.42,7,1
154 ANG MO KIO AVE 5,Ang Mo Kio Town Garden West,0.3,3,Broadway Plaza,0.71,3,Ai Tong School,1.96,1,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),0.3,9,Mayflower,0.43,5,Mayflower,0.43,7,2
110 ANG MO KIO AVE 4,Bishan-Ang Mo Kio Park,0.6,3,Broadway Plaza,0.96,5,Ai Tong School,1.2,1,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),0.45,8,Mayflower,0.34,6,Mayflower,0.34,7,1
445 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.7,2,AMK Hub,0.83,4,Yangzheng Primary School,2.5,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.16,9,Ang Mo Kio,0.99,3,Teck Ghee,0.54,6,3
476 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,1.23,1,myVillage At Serangoon Garden,0.86,5,Yangzheng Primary School,1.93,1,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),0.28,7,Lorong Chuan,1.32,2,Teck Ghee,0.85,5,3
631 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.64,3,Broadway Plaza,1.02,3,Ai Tong School,2.27,0,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),0.16,8,Mayflower,0.77,6,Mayflower,0.77,7,1
155 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.37,3,Broadway Plaza,0.79,3,Ai Tong School,1.86,1,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),0.18,9,Mayflower,0.35,5,Mayflower,0.35,7,2
560 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.97,2,myVillage At Serangoon Garden,0.92,4,Xinmin Primary School,2.66,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.43,7,Ang Mo Kio,1.35,1,Tavistock,0.7,4,3
561 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.82,2,myVillage At Serangoon Garden,1.01,4,Yangzheng Primary School,2.7,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.31,7,Ang Mo Kio,1.2,1,Tavistock,0.85,4,3
405 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,1.07,3,AMK Hub,1.04,5,Yangzheng Primary School,2.18,0,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),0.22,9,Ang Mo Kio,1.16,3,Teck Ghee,0.54,5,2
548 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.77,2,Jubilee Square,1.03,4,Xinmin Primary School,2.9,0,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),0.29,8,Ang Mo Kio,1.17,2,Tavistock,0.99,5,3
126 ANG MO KIO AVE 3,Ang Mo Kio Town Garden West,0.29,3,Broadway Plaza,0.26,3,Ai Tong School,1.7,1,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.33,10,Ang Mo Kio,0.44,6,Ang Mo Kio,0.44,7,1
558 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.97,2,myVillage At Serangoon Garden,0.95,4,Xinmin Primary School,2.66,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.46,7,Ang Mo Kio,1.36,1,Tavistock,0.71,4,3
212 ANG MO KIO AVE 3,Ang Mo Kio Town Garden West,0.61,3,Broadway Plaza,0.59,4,Ai Tong School,1.32,1,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),0.25,11,Mayflower,0.49,6,Mayflower,0.49,7,1
333 ANG MO KIO AVE 1,Ang Mo Kio Town Garden East,1.04,3,AMK Hub,0.95,5,Ai Tong School,2.08,0,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),0.44,10,Ang Mo Kio,1.05,4,Teck Ghee,0.48,7,3
114 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.77,3,Broadway Plaza,1.09,3,Ai Tong School,1.37,1,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),0.39,7,Mayflower,0.37,6,Mayflower,0.37,7,1
151 ANG MO KIO AVE 5,Ang Mo Kio Town Garden West,0.34,3,Broadway Plaza,0.75,3,Ai Tong School,2.0,0,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),0.33,9,Mayflower,0.48,5,Mayflower,0.48,7,2
503 ANG MO KIO AVE 5,Ang Mo Kio Town Garden East,0.55,3,Jubilee Square,0.42,3,Ai Tong School,2.42,0,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.45,9,Ang Mo Kio,0.68,4,Ang Mo Kio,0.68,6,2
230 ANG MO KIO AVE 3,Bishan-Ang Mo Kio Park,0.44,3,Broadway Plaza,0.95,5,Ai Tong School,1.06,1,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),0.26,9,Bishan,0.44,6,Bishan,0.44,7,1
157 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.42,3,Broadway Plaza,0.82,3,Ai Tong School,1.78,1,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),0.09,8,Mayflower,0.29,5,Mayflower,0.29,7,2
213 ANG MO KIO AVE 3,Bishan-Ang Mo Kio Park,0.62,3,Broadway Plaza,0.7,5,Ai Tong School,1.21,1,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),0.16,11,Mayflower,0.58,6,Mayflower,0.58,7,1
419 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.72,3,AMK Hub,0.77,5,Ai Tong School,2.41,0,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),0.32,10,Ang Mo Kio,0.92,4,Teck Ghee,0.36,6,2
549 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.82,2,Jubilee Square,1.08,4,Xinmin Primary School,2.86,0,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),0.33,7,Ang Mo Kio,1.21,2,Tavistock,0.96,5,3
201 ANG MO KIO AVE 3,Ang Mo Kio Town Garden West,0.61,3,Broadway Plaza,0.37,4,Ai Tong School,1.58,1,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.43,10,Ang Mo Kio,0.29,6,Ang Mo Kio,0.29,7,1
533 ANG MO KIO AVE 5,Ang Mo Kio Town Garden East,0.48,2,Jubilee Square,0.63,4,Ai Tong School,2.68,0,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),0.23,11,Ang Mo Kio,0.83,2,Ang Mo Kio,0.83,4,2
571 ANG MO KIO AVE 3,Ang Mo Kio Town Garden East,0.5,2,AMK Hub,0.72,4,Ai Tong School,2.65,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.26,11,Ang Mo Kio,0.87,2,Teck Ghee,0.66,4,2
623 ANG MO KIO AVE 9,Ang Mo Kio Town Garden West,0.97,3,Broadway Plaza,1.31,3,Ai Tong School,2.59,0,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),0.18,7,Yio Chu Kang,0.96,5,Yio Chu Kang,0.96,5,0
465 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.9,2,myVillage At Serangoon Garden,0.89,4,Yangzheng Primary School,2.32,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.24,8,Ang Mo Kio,1.19,2,Teck Ghee,0.7,5,3
119 ANG MO KIO AVE 3,Ang Mo Kio Town Garden West,0.55,3,Broadway Plaza,0.3,3,Ai Tong School,1.64,1,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.35,10,Ang Mo Kio,0.27,6,Ang Mo Kio,0.27,7,1
121 ANG MO KIO AVE 3,Ang Mo Kio Town Garden West,0.5,3,Broadway Plaza,0.37,3,Ai Tong School,1.54,1,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.43,10,Ang Mo Kio,0.4,6,Ang Mo Kio,0.4,7,1
418 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.75,3,AMK Hub,0.78,5,Ai Tong School,2.39,0,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),0.28,10,Ang Mo Kio,0.93,4,Teck Ghee,0.35,6,2
607 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.83,3,Broadway Plaza,1.23,3,Ai Tong School,2.29,0,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),0.22,7,Yio Chu Kang,0.72,6,Yio Chu Kang,0.72,6,0
216 ANG MO KIO AVE 1,Bishan-Ang Mo Kio Park,0.59,3,Broadway Plaza,0.8,6,Ai Tong School,1.13,1,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),0.21,11,Bishan,0.59,6,Bishan,0.59,7,1
103 ANG MO KIO AVE 3,Ang Mo Kio Town Garden West,0.53,3,Broadway Plaza,0.75,3,Ai Tong School,1.35,1,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),0.38,9,Mayflower,0.19,6,Mayflower,0.19,7,1
570 ANG MO KIO AVE 3,Ang Mo Kio Town Garden East,0.63,2,AMK Hub,0.84,4,Yangzheng Primary School,2.72,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.17,10,Ang Mo Kio,0.99,2,Teck Ghee,0.73,5,3
127 ANG MO KIO AVE 3,Ang Mo Kio Town Garden West,0.33,3,Broadway Plaza,0.27,3,Ai Tong School,1.66,1,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.34,10,Ang Mo Kio,0.43,6,Ang Mo Kio,0.43,7,1
159 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.35,3,Broadway Plaza,0.75,3,Ai Tong School,1.75,1,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),0.08,9,Mayflower,0.23,5,Mayflower,0.23,7,2
173 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.76,3,Broadway Plaza,1.14,3,Ai Tong School,1.67,1,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),0.34,7,Mayflower,0.47,6,Mayflower,0.47,7,1
585 ANG MO KIO AVE 3,Ang Mo Kio Town Garden East,0.21,3,AMK Hub,0.46,4,Ai Tong School,2.42,0,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),0.34,11,Ang Mo Kio,0.6,3,Teck Ghee,0.58,5,2
120 ANG MO KIO AVE 3,Ang Mo Kio Town Garden West,0.49,3,Broadway Plaza,0.26,3,Ai Tong School,1.66,1,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.32,10,Ang Mo Kio,0.28,6,Ang Mo Kio,0.28,7,1
421 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.65,3,AMK Hub,0.66,5,Ai Tong School,2.28,0,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),0.39,10,Ang Mo Kio,0.81,4,Teck Ghee,0.22,7,3
178 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.69,3,Broadway Plaza,1.1,3,Ai Tong School,1.78,1,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),0.31,8,Mayflower,0.47,6,Mayflower,0.47,8,2
417 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.82,2,AMK Hub,0.89,5,Yangzheng Primary School,2.34,0,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),0.24,9,Ang Mo Kio,1.04,3,Teck Ghee,0.48,5,2
509 ANG MO KIO AVE 8,Ang Mo Kio Town Garden East,0.37,3,Jubilee Square,0.35,4,Ai Tong School,2.41,0,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.45,9,Ang Mo Kio,0.59,3,Ang Mo Kio,0.59,5,2
128 ANG MO KIO AVE 3,Ang Mo Kio Town Garden West,0.37,3,Broadway Plaza,0.29,3,Ai Tong School,1.63,1,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.36,10,Ang Mo Kio,0.41,6,Ang Mo Kio,0.41,7,1
328 ANG MO KIO AVE 3,Ang Mo Kio Town Garden East,0.54,3,AMK Hub,0.3,5,Ai Tong School,1.78,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.28,9,Ang Mo Kio,0.35,4,Ang Mo Kio,0.35,6,2
463 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.88,2,myVillage At Serangoon Garden,0.88,4,Yangzheng Primary School,2.37,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.19,8,Ang Mo Kio,1.2,2,Teck Ghee,0.74,5,3
575 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.61,2,AMK Hub,0.87,4,Ai Tong School,2.82,0,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),0.22,10,Ang Mo Kio,1.01,2,Teck Ghee,0.85,4,2
587 ANG MO KIO AVE 3,Ang Mo Kio Town Garden East,0.22,3,AMK Hub,0.45,4,Ai Tong School,2.41,0,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),0.37,11,Ang Mo Kio,0.6,3,Teck Ghee,0.53,5,2
218 ANG MO KIO AVE 1,Bishan-Ang Mo Kio Park,0.61,3,AMK Hub,0.88,6,Ai Tong School,1.09,1,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),0.31,11,Bishan,0.61,5,Bishan,0.61,6,1
320 ANG MO KIO AVE 1,Ang Mo Kio Town Garden East,0.61,3,AMK Hub,0.41,6,Ai Tong School,1.8,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.17,10,Ang Mo Kio,0.47,4,Teck Ghee,0.29,6,2
348 ANG MO KIO AVE 3,Ang Mo Kio Town Garden East,0.57,3,AMK Hub,0.34,6,Ai Tong School,1.77,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.23,10,Ang Mo Kio,0.39,4,Teck Ghee,0.35,5,1
601 ANG MO KIO AVE 5,Ang Mo Kio Town Garden West,1.16,2,Broadway Plaza,1.57,3,Ai Tong School,2.27,0,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),0.62,6,Yio Chu Kang,0.31,6,Yio Chu Kang,0.31,6,0
313 ANG MO KIO AVE 3,Ang Mo Kio Town Garden East,0.45,3,AMK Hub,0.34,5,Ai Tong School,2.02,0,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.35,11,Ang Mo Kio,0.47,3,Teck Ghee,0.15,6,3
523 ANG MO KIO AVE 5,Ang Mo Kio Town Garden East,0.36,2,Jubilee Square,0.57,4,Ai Tong School,2.6,0,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),0.18,11,Ang Mo Kio,0.74,2,Ang Mo Kio,0.74,4,2
108 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.64,3,Broadway Plaza,0.87,4,Ai Tong School,1.28,1,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),0.41,8,Mayflower,0.25,6,Mayflower,0.25,7,1
466 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.91,2,myVillage At Serangoon Garden,0.9,5,Yangzheng Primary School,2.29,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.28,9,Ang Mo Kio,1.19,2,Teck Ghee,0.68,5,3
105 ANG MO KIO AVE 4,Ang Mo Kio Town Garden West,0.63,3,Broadway Plaza,0.93,3,Ai Tong School,1.39,1,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),0.3,8,Mayflower,0.22,6,Mayflower,0.22,7,1
438 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.56,3,AMK Hub,0.66,5,Ai Tong School,2.43,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.31,10,Ang Mo Kio,0.81,4,Teck Ghee,0.36,6,2
543 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.75,2,Jubilee Square,0.98,4,Sengkang Green Primary School,2.94,0,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),0.26,10,Ang Mo Kio,1.14,2,Tavistock,1.12,4,2
416 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.85,2,AMK Hub,0.9,5,Yangzheng Primary School,2.31,0,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),0.2,9,Ang Mo Kio,1.06,3,Teck Ghee,0.48,5,2
442 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.77,2,AMK Hub,0.85,5,Yangzheng Primary School,2.4,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.31,9,Ang Mo Kio,1.01,3,Teck Ghee,0.48,5,2
573 ANG MO KIO AVE 3,Ang Mo Kio Town Garden East,0.48,2,AMK Hub,0.72,4,Ai Tong School,2.67,0,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),0.25,11,Ang Mo Kio,0.87,2,Teck Ghee,0.7,4,2
542 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.75,2,Jubilee Square,0.95,4,Sengkang Green Primary School,2.94,0,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),0.27,10,Ang Mo Kio,1.13,2,Ang Mo Kio,1.13,4,2
544 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.76,2,Jubilee Square,0.99,4,Sengkang Green Primary School,2.95,0,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),0.26,10,Ang Mo Kio,1.15,2,Tavistock,1.09,4,2
335 ANG MO KIO AVE 1,Ang Mo Kio Town Garden East,0.83,3,AMK Hub,0.71,5,Ai Tong School,1.99,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.29,11,Ang Mo Kio,0.82,4,Teck Ghee,0.26,7,3
475 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,1.11,2,myVillage At Serangoon Garden,1.0,5,Yangzheng Primary School,2.05,0,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),0.13,9,Ang Mo Kio,1.3,2,Teck Ghee,0.7,5,3
572 ANG MO KIO AVE 3,Ang Mo Kio Town Garden East,0.61,2,AMK Hub,0.84,4,Ai Tong School,2.77,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.23,10,Ang Mo Kio,0.99,2,Teck Ghee,0.76,5,3
208 ANG MO KIO AVE 1,Bishan-Ang Mo Kio Park,0.71,3,AMK Hub,0.77,6,Ai Tong School,1.21,1,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),0.37,11,Ang Mo Kio,0.67,5,Ang Mo Kio,0.67,6,1
231 ANG MO KIO AVE 3,Bishan-Ang Mo Kio Park,0.4,3,Broadway Plaza,1.01,5,Ai Tong School,1.01,1,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),0.27,9,Bishan,0.4,6,Bishan,0.4,7,1
435 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.53,2,AMK Hub,0.66,4,Ai Tong School,2.49,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.25,10,Ang Mo Kio,0.82,2,Teck Ghee,0.43,4,2
467 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.92,2,myVillage At Serangoon Garden,0.93,5,Yangzheng Primary School,2.27,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.32,9,Ang Mo Kio,1.18,2,Teck Ghee,0.65,5,3
634 ANG MO KIO AVE 6,Ang Mo Kio Town Garden West,0.82,3,Broadway Plaza,1.11,3,Ai Tong School,2.59,0,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),0.29,7,Mayflower,1.06,5,Mayflower,1.06,6,1
504 ANG MO KIO AVE 8,Ang Mo Kio Town Garden East,0.49,3,Jubilee Square,0.36,3,Ai Tong School,2.37,0,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.4,9,Ang Mo Kio,0.61,4,Ang Mo Kio,0.61,6,2
414 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.84,3,AMK Hub,0.85,5,Yangzheng Primary School,2.35,0,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),0.21,9,Ang Mo Kio,0.99,4,Teck Ghee,0.38,6,2
434 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.45,3,AMK Hub,0.58,4,Ai Tong School,2.41,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.32,10,Ang Mo Kio,0.74,3,Teck Ghee,0.38,5,2
346 ANG MO KIO AVE 3,Ang Mo Kio Town Garden East,0.41,3,AMK Hub,0.27,5,Ai Tong School,1.99,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.37,11,Ang Mo Kio,0.4,3,Teck Ghee,0.22,6,3
638 ANG MO KIO AVE 6,Ang Mo Kio Town Garden West,0.7,3,Broadway Plaza,0.98,3,Ai Tong School,2.49,0,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),0.33,9,Mayflower,0.97,5,Mayflower,0.97,6,1
101 ANG MO KIO AVE 3,Ang Mo Kio Town Garden West,0.58,3,Broadway Plaza,0.74,4,Ai Tong School,1.29,1,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),0.34,10,Mayflower,0.27,6,Mayflower,0.27,7,1
354 ANG MO KIO ST 32,Ang Mo Kio Town Garden East,0.77,3,AMK Hub,0.71,5,Ai Tong School,2.15,0,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),0.39,10,Ang Mo Kio,0.84,4,Teck Ghee,0.22,7,3
648 ANG MO KIO AVE 5,Ang Mo Kio Town Garden West,0.46,3,Broadway Plaza,0.74,3,Ai Tong School,2.29,0,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),0.46,9,Mayflower,0.77,4,Mayflower,0.77,5,1
351 ANG MO KIO ST 32,Ang Mo Kio Town Garden East,0.7,3,AMK Hub,0.58,5,Ai Tong School,1.97,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.23,10,Ang Mo Kio,0.69,4,Teck Ghee,0.16,7,3
716 ANG MO KIO AVE 6,Ang Mo Kio Town Garden West,0.44,3,Broadway Plaza,0.05,3,Ai Tong School,1.87,1,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.11,10,Ang Mo Kio,0.24,4,Ang Mo Kio,0.24,6,2
700A ANG MO KIO AVE 6,Ang Mo Kio Town Garden East,0.5,3,Broadway Plaza,0.22,3,Ai Tong School,1.79,1,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.25,10,Ang Mo Kio,0.12,4,Ang Mo Kio,0.12,6,2
596D ANG MO KIO ST 52,Ang Mo Kio Town Garden East,0.14,3,Jubilee Square,0.36,4,Ai Tong School,2.36,0,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),0.4,11,Ang Mo Kio,0.5,3,Ang Mo Kio,0.5,5,2
460 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,1.08,3,myVillage At Serangoon Garden,0.69,4,Yangzheng Primary School,2.22,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.37,7,Ang Mo Kio,1.39,2,Tavistock,0.83,5,3
700B ANG MO KIO AVE 6,Ang Mo Kio Town Garden East,0.51,3,AMK Hub,0.27,3,Ai Tong School,1.75,1,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.31,10,Ang Mo Kio,0.12,5,Ang Mo Kio,0.12,6,1
437 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.49,3,AMK Hub,0.58,5,Ai Tong School,2.37,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.36,10,Ang Mo Kio,0.74,3,Teck Ghee,0.31,5,2
253 ANG MO KIO ST 21,Bishan-Ang Mo Kio Park,0.51,3,Broadway Plaza,1.29,5,Ai Tong School,1.0,1,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),0.59,8,Bishan,0.51,6,Bishan,0.51,7,1
596C ANG MO KIO ST 52,Ang Mo Kio Town Garden East,0.14,3,Jubilee Square,0.26,4,Ai Tong School,2.28,0,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),0.4,9,Ang Mo Kio,0.42,3,Ang Mo Kio,0.42,6,3
316A ANG MO KIO ST 31,Ang Mo Kio Town Garden East,0.77,3,AMK Hub,0.53,5,Ai Tong School,1.61,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.17,10,Ang Mo Kio,0.54,4,Teck Ghee,0.46,5,1
439 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.59,3,AMK Hub,0.65,5,Ai Tong School,2.36,0,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),0.38,10,Ang Mo Kio,0.8,4,Teck Ghee,0.29,6,2
350 ANG MO KIO ST 32,Ang Mo Kio Town Garden East,0.77,3,AMK Hub,0.64,6,Ai Tong School,1.93,1,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.2,11,Ang Mo Kio,0.73,4,Teck Ghee,0.23,7,3
353 ANG MO KIO ST 32,Ang Mo Kio Town Garden East,0.74,3,AMK Hub,0.67,5,Ai Tong School,2.1,0,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),0.37,10,Ang Mo Kio,0.8,4,Teck Ghee,0.18,7,3
