town,flat,flat_model,lease_commence_date,resale_price
SERANGOON,539 SERANGOON NTH AVE 4,Maisonette,1992,838000
SERANGOON,321 SERANGOON AVE 2,Maisonette,1986,1090000
SERANGOON,232A SERANGOON AVE 2,Apartment,1998,1101000
SERANGOON,423 SERANGOON CTRL,Maisonette,1989,970000
SERANGOON,417 SERANGOON CTRL,Maisonette,1989,980000
TAMPINES,204 TAMPINES ST 21,Improved,1983,343000
TAMPINES,408 TAMPINES ST 41,Improved,1985,382500
TAMPINES,826 TAMPINES ST 81,New Generation,1987,380000
TAMPINES,405 TAMPINES ST 41,Improved,1985,408000
TAMPINES,452 TAMPINES ST 42,Simplified,1987,382000
TAMPINES,433 TAMPINES ST 43,Simplified,1987,368888
TAMPINES,214 TAMPINES ST 23,New Generation,1985,375000
TAMPINES,853 TAMPINES ST 83,Model A,1987,568000
TAMPINES,803 TAMPINES AVE 4,New Generation,1984,385000
TAMPINES,293 TAMPINES ST 22,Model A,1984,408000
TAMPINES,276 TAMPINES ST 22,Model A,1984,510000
TAMPINES,424 TAMPINES ST 41,Model A,1985,400000
TAMPINES,267 TAMPINES ST 21,Model A,1983,400000
TAMPINES,851 TAMPINES ST 83,Model A,1987,415000
TAMPINES,246 TAMPINES ST 21,New Generation,1984,388888
TAMPINES,883 TAMPINES ST 84,Model A,1988,430000
TAMPINES,250 TAMPINES ST 21,Model A,1984,560000
TAMPINES,272 TAMPINES ST 22,Model A,1984,455000
TAMPINES,225 TAMPINES ST 23,Model A,1984,382000
TAMPINES,249 TAMPINES ST 21,Model A,1984,525000
TAMPINES,113 TAMPINES ST 11,Model A,1982,415000
TAMPINES,407 TAMPINES ST 41,Improved,1985,385000
TAMPINES,854 TAMPINES ST 82,Model A,1985,428000
TAMPINES,464 TAMPINES ST 44,Simplified,1985,500000
TAMPINES,241 TAMPINES ST 21,Model A,1985,596888
TAMPINES,206 TAMPINES ST 21,Model A,1982,535000
TAMPINES,420 TAMPINES ST 41,Model A,1985,430000
TAMPINES,817 TAMPINES ST 81,Model A,1984,580000
TAMPINES,421 TAMPINES ST 41,Model A,1985,428000
TAMPINES,244 TAMPINES ST 21,Model A,1984,420000
TAMPINES,469 TAMPINES ST 44,Model A,1985,540000
TAMPINES,477 TAMPINES ST 43,Apartment,1993,800000
TAMPINES,843 TAMPINES ST 83,Simplified,1988,499000
TAMPINES,850 TAMPINES ST 82,Simplified,1986,410000
TAMPINES,899A TAMPINES ST 81,Model A,1988,430000
TAMPINES,856 TAMPINES ST 82,Simplified,1986,541000
TAMPINES,812 TAMPINES AVE 4,New Generation,1984,540000
TAMPINES,840 TAMPINES ST 82,Simplified,1986,480000
TAMPINES,368 TAMPINES ST 34,Model A,1997,503000
TAMPINES,342 TAMPINES ST 33,Model A,1995,508000
TAMPINES,888 TAMPINES ST 81,Model A,1988,558000
TAMPINES,359 TAMPINES ST 34,Model A,1996,556000
TAMPINES,137 SIMEI ST 1,Simplified,1988,480000
TAMPINES,432 TAMPINES ST 41,Improved,1986,635000
TAMPINES,321 TAMPINES ST 33,Model A,1995,511000
TAMPINES,425 TAMPINES ST 41,Improved,1985,650000
TAMPINES,348 TAMPINES ST 33,Model A,1996,530000
TAMPINES,135 SIMEI ST 1,Improved,1988,685000
TAMPINES,487B TAMPINES ST 45,Model A,1989,540000
TAMPINES,489A TAMPINES ST 45,Model A,1989,525888
TAMPINES,154 SIMEI ST 1,Simplified,1988,403000
TAMPINES,117 SIMEI ST 1,Improved,1988,678000
TAMPINES,340 TAMPINES ST 33,Model A,1995,500000
TAMPINES,935 TAMPINES ST 91,Model A,1984,540000
TAMPINES,134 SIMEI ST 1,Improved,1988,570000
TAMPINES,891A TAMPINES AVE 8,Model A,1997,570000
TAMPINES,133 SIMEI ST 1,Simplified,1988,480000
TAMPINES,343 TAMPINES ST 33,Model A,1995,522000
TAMPINES,345 TAMPINES ST 33,Model A,1996,680000
TAMPINES,285 TAMPINES ST 22,Model A,1984,510000
TAMPINES,718 TAMPINES ST 72,Model A,1997,575000
TAMPINES,725 TAMPINES ST 71,Model A,1997,565000
TAMPINES,730 TAMPINES ST 71,Model A,1997,575000
TAMPINES,707 TAMPINES ST 71,Improved,1997,680888
TAMPINES,301 TAMPINES ST 32,Model A,1993,525000
TAMPINES,165 SIMEI RD,Model A,1989,569000
TAMPINES,247 TAMPINES ST 21,New Generation,1984,542000
TAMPINES,227 TAMPINES ST 23,New Generation,1986,415000
TAMPINES,810 TAMPINES AVE 4,Model A,1984,423000
TAMPINES,491E TAMPINES ST 45,Model A,1993,730000
TAMPINES,894A TAMPINES ST 81,Model A,1988,568000
TAMPINES,865 TAMPINES ST 83,Improved,1989,638000
TAMPINES,922 TAMPINES ST 91,Model A,1984,690000
TAMPINES,930 TAMPINES ST 91,Model A,1984,600000
TAMPINES,846 TAMPINES ST 82,Model A,1986,435000
TAMPINES,270 TAMPINES ST 21,Model A,1985,588000
TAMPINES,497G TAMPINES ST 45,Premium Apartment,1996,710000
TAMPINES,141 TAMPINES ST 12,Model A,1984,565000
TAMPINES,741 TAMPINES ST 72,Model A,1997,548000
TAMPINES,497B TAMPINES ST 45,Premium Apartment,1996,720000
TAMPINES,492C TAMPINES ST 45,Improved,1993,610000
TAMPINES,497H TAMPINES ST 45,Premium Apartment,1996,578000
TAMPINES,731 TAMPINES ST 71,Model A,1997,600000
TAMPINES,289 TAMPINES ST 22,Improved,1985,545000
TAMPINES,727 TAMPINES ST 71,Model A,1997,600000
TAMPINES,485B TAMPINES AVE 9,Model A,1989,553000
TAMPINES,842E TAMPINES ST 82,Model A,1995,900000
TAMPINES,498E TAMPINES ST 45,Premium Apartment,1997,515000
TAMPINES,277 TAMPINES ST 22,Model A,1985,530000
TAMPINES,496C TAMPINES ST 43,Improved,1993,620000
TAMPINES,237 TAMPINES ST 21,Model A,1984,620000
TAMPINES,486B TAMPINES AVE 9,Model A,1993,505000
TAMPINES,501 TAMPINES CTRL 1,Model A,1989,610000
TAMPINES,496E TAMPINES AVE 9,Improved,1993,570000
TAMPINES,307 TAMPINES ST 32,Improved,1993,635000
TAMPINES,230C TAMPINES ST 24,Model A,1993,626000
TAMPINES,870 TAMPINES ST 83,Model A,1989,520000
TAMPINES,491C TAMPINES ST 45,Improved,1993,692500
TAMPINES,164 TAMPINES ST 12,Model A,1984,575000
TAMPINES,263 TAMPINES ST 21,Model A,1984,386000
TAMPINES,234 TAMPINES ST 21,Model A,1984,424000
TAMPINES,440 TAMPINES ST 43,Simplified,1986,460000
TAMPINES,384 TAMPINES ST 32,Improved,1993,700000
TAMPINES,304 TAMPINES ST 32,Improved,1993,615000
TAMPINES,489B TAMPINES ST 45,Model A,1993,520000
TAMPINES,123 SIMEI ST 1,Model A,1988,635000
TAMPINES,126 TAMPINES ST 11,Model A,1985,670000
TAMPINES,356 TAMPINES ST 33,Improved,1996,600000
TAMPINES,493D TAMPINES ST 43,Improved,1993,695000
TAMPINES,122 SIMEI ST 1,Simplified,1988,530000
TAMPINES,867 TAMPINES ST 83,Improved,1989,690000
TAMPINES,712 TAMPINES ST 71,Model A,1997,536000
TAMPINES,392 TAMPINES AVE 7,Improved,1994,645000
TAMPINES,142 TAMPINES ST 12,Model A,1984,630000
TAMPINES,858B TAMPINES AVE 5,Model A,1987,428000
TAMPINES,926 TAMPINES ST 91,Model A,1983,670000
TAMPINES,411 TAMPINES ST 41,Model A,1985,700000
TAMPINES,903 TAMPINES AVE 4,Model A,1984,805000
TAMPINES,705 TAMPINES ST 71,Improved,1997,628000
TAMPINES,162 SIMEI RD,Model A,1989,600000
TAMPINES,932 TAMPINES ST 91,Model A,1985,670000
TAMPINES,216 TAMPINES ST 23,Improved,1985,628000
TAMPINES,126 SIMEI ST 1,Improved,1988,668000
TAMPINES,704 TAMPINES ST 71,Model A,1997,590000
TAMPINES,112 SIMEI ST 1,Improved,1988,710000
TAMPINES,164 SIMEI RD,Improved,1989,600000
TAMPINES,230 SIMEI ST 4,Model A,1988,558000
TAMPINES,102 SIMEI ST 1,Model A,1988,555000
TAMPINES,842G TAMPINES ST 82,Model A,1995,820000
TAMPINES,739 TAMPINES ST 72,Apartment,1997,820000
TAMPINES,863 TAMPINES ST 83,Maisonette,1988,882000
TAMPINES,315 TAMPINES ST 33,Apartment,1993,670000
TAMPINES,326 TAMPINES ST 32,Maisonette,1995,868000
TAMPINES,896A TAMPINES ST 81,Maisonette,1988,900000
TAMPINES,336 TAMPINES ST 32,Maisonette,1996,810000
TAMPINES,894 TAMPINES ST 81,Maisonette,1989,828000
TAMPINES,857 TAMPINES ST 83,Maisonette,1988,858888
TAMPINES,893 TAMPINES AVE 8,Maisonette,1997,840000
TAMPINES,860 TAMPINES AVE 5,Maisonette,1987,885000
TAMPINES,245 TAMPINES ST 21,Apartment,1984,900000
TAMPINES,226 SIMEI ST 4,Apartment,1988,750000
TAMPINES,147 TAMPINES AVE 5,Maisonette,1985,910000
TAMPINES,856F TAMPINES ST 82,Apartment,1995,976888
TAMPINES,856D TAMPINES ST 82,Maisonette,1995,960000
TAMPINES,151 TAMPINES ST 12,Maisonette,1984,975000
TAMPINES,460 TAMPINES ST 42,Multi Generation,1987,783000
TOA PAYOH,54 LOR 5 TOA PAYOH,Standard,1967,240000
TOA PAYOH,2 UPP ALJUNIED LANE,Standard,1968,290000
TOA PAYOH,195 KIM KEAT AVE,Improved,1973,301000
TOA PAYOH,51 LOR 6 TOA PAYOH,Standard,1983,360888
TOA PAYOH,118 POTONG PASIR AVE 1,New Generation,1984,395000
TOA PAYOH,4 UPP ALJUNIED LANE,Standard,1968,306000
TOA PAYOH,1 LOR 7 TOA PAYOH,Improved,1969,338000
TOA PAYOH,57 LOR 5 TOA PAYOH,Standard,1973,306000
TOA PAYOH,232 LOR 8 TOA PAYOH,Improved,1976,360000
TOA PAYOH,4 LOR 7 TOA PAYOH,Improved,1969,293000
TOA PAYOH,114 POTONG PASIR AVE 1,New Generation,1984,575000
TOA PAYOH,73 LOR 4 TOA PAYOH,Standard,1973,370000
TOA PAYOH,2 LOR 7 TOA PAYOH,Improved,1969,333000
TOA PAYOH,27 TOA PAYOH EAST,Improved,1971,325000
TOA PAYOH,3 LOR 7 TOA PAYOH,Improved,1969,313000
TOA PAYOH,125 LOR 1 TOA PAYOH,Improved,1970,380000
TOA PAYOH,26 TOA PAYOH EAST,Improved,1971,337000
TOA PAYOH,34 LOR 5 TOA PAYOH,Improved,1970,318000
TOA PAYOH,199 TOA PAYOH NTH,Improved,1982,372000
TOA PAYOH,206 TOA PAYOH NTH,Improved,1973,355000
TOA PAYOH,18 LOR 7 TOA PAYOH,Improved,1970,337000
TOA PAYOH,38 LOR 5 TOA PAYOH,Improved,1970,328000
TOA PAYOH,20 LOR 7 TOA PAYOH,Improved,1970,340000
TOA PAYOH,205 TOA PAYOH NTH,Improved,1973,356888
TOA PAYOH,168 LOR 1 TOA PAYOH,Improved,1972,318000
TOA PAYOH,231 LOR 8 TOA PAYOH,Improved,1976,330000
TOA PAYOH,108 LOR 1 TOA PAYOH,Improved,1970,338000
TOA PAYOH,174 LOR 1 TOA PAYOH,Improved,1972,370000
TOA PAYOH,117 POTONG PASIR AVE 1,New Generation,1984,392000
TOA PAYOH,85C LOR 4 TOA PAYOH,Improved,1972,400000
TOA PAYOH,69 LOR 4 TOA PAYOH,Standard,1973,380000
TOA PAYOH,116 LOR 2 TOA PAYOH,Improved,1970,350000
TOA PAYOH,157 LOR 1 TOA PAYOH,Improved,1971,353000
TOA PAYOH,85A LOR 4 TOA PAYOH,Improved,1972,460000
TOA PAYOH,104 POTONG PASIR AVE 1,Model A,1984,675000
TOA PAYOH,145 POTONG PASIR AVE 2,Model A,1984,470000
TOA PAYOH,17 JOO SENG RD,Model A,1983,522000
TOA PAYOH,185 TOA PAYOH CTRL,Improved,1972,408888
TOA PAYOH,252 KIM KEAT LINK,Improved,1988,615000
TOA PAYOH,202 TOA PAYOH NTH,Improved,1973,455000
TOA PAYOH,200 TOA PAYOH NTH,Improved,1973,425000
TOA PAYOH,204 TOA PAYOH NTH,Improved,1973,425000
TOA PAYOH,142 LOR 2 TOA PAYOH,Model A,2001,762000
TOA PAYOH,175 LOR 2 TOA PAYOH,Improved,1974,455000
TOA PAYOH,217 LOR 8 TOA PAYOH,Standard,1976,636000
TOA PAYOH,218 LOR 8 TOA PAYOH,Standard,1978,670000
TOA PAYOH,10B LOR 7 TOA PAYOH,Model A,1998,708000
TOA PAYOH,10 LOR 7 TOA PAYOH,Improved,1998,900000
TOA PAYOH,48 LOR 5 TOA PAYOH,Improved,1993,700000
TOA PAYOH,145 LOR 2 TOA PAYOH,Model A,2006,750000
TOA PAYOH,7 LOR 7 TOA PAYOH,Improved,1998,838000
TOA PAYOH,155 LOR 1 TOA PAYOH,Model A,1999,770000
TOA PAYOH,146 LOR 2 TOA PAYOH,Model A,2006,870000
TOA PAYOH,254 KIM KEAT AVE,Maisonette,1989,990000
TOA PAYOH,79B TOA PAYOH CTRL,Model A,2009,700000
TOA PAYOH,60 LOR 4 TOA PAYOH,Improved,1999,873000
TOA PAYOH,122 POTONG PASIR AVE 1,Model A,1984,828888
TOA PAYOH,82B LOR 4 TOA PAYOH,Improved,1996,980000
TOA PAYOH,123 POTONG PASIR AVE 1,Maisonette,1984,948000
TOA PAYOH,122 LOR 2 TOA PAYOH,Improved,1999,905000
TOA PAYOH,99B LOR 2 TOA PAYOH,Apartment,1993,986000
TOA PAYOH,158 LOR 1 TOA PAYOH,Improved,1972,358000
TOA PAYOH,99C LOR 2 TOA PAYOH,Apartment,1993,1030000
TOA PAYOH,99A LOR 2 TOA PAYOH,Apartment,1993,1120000
WOODLANDS,18 MARSILING LANE,Improved,1987,305000
WOODLANDS,24 MARSILING DR,New Generation,1977,333000
WOODLANDS,129 MARSILING RISE,Improved,1985,337000
WOODLANDS,19 MARSILING LANE,Improved,1987,318000
WOODLANDS,125 MARSILING RISE,Model A,1985,660000
WOODLANDS,217 MARSILING CRES,Model A,1982,335000
WOODLANDS,218 MARSILING CRES,New Generation,1986,285000
WOODLANDS,203 MARSILING DR,New Generation,1981,380000
WOODLANDS,2 MARSILING DR,Improved,1974,300000
WOODLANDS,23 MARSILING DR,New Generation,1977,330000
WOODLANDS,22 MARSILING DR,New Generation,1977,368000
WOODLANDS,1 MARSILING DR,Improved,1974,288000
WOODLANDS,202 MARSILING DR,New Generation,1981,338000
WOODLANDS,148 WOODLANDS ST 13,New Generation,1985,395000
WOODLANDS,8 MARSILING DR,Improved,1976,375000
WOODLANDS,30 MARSILING DR,New Generation,1977,348000
WOODLANDS,102 WOODLANDS ST 13,New Generation,1985,372000
WOODLANDS,213 MARSILING CRES,Model A,1982,361000
WOODLANDS,850 WOODLANDS ST 82,Apartment,1995,850000
WOODLANDS,152 WOODLANDS ST 13,Model A,1985,475000
WOODLANDS,101 WOODLANDS ST 13,New Generation,1985,430000
WOODLANDS,31 MARSILING DR,New Generation,1977,350000
WOODLANDS,313 WOODLANDS ST 31,Model A,1993,375000
WOODLANDS,854 WOODLANDS ST 83,Simplified,1993,430000
WOODLANDS,28 MARSILING DR,New Generation,1977,420000
WOODLANDS,842 WOODLANDS ST 82,Model A,1994,500000
WOODLANDS,579 WOODLANDS DR 16,Model A,2001,455000
WOODLANDS,437 WOODLANDS ST 41,Model A,1996,500000
WOODLANDS,120 MARSILING RISE,Improved,1985,505000
WOODLANDS,177 WOODLANDS ST 13,New Generation,1986,420000
WOODLANDS,160 WOODLANDS ST 13,Model A,1990,500000
WOODLANDS,840 WOODLANDS ST 82,Model A,1994,468000
WOODLANDS,776 WOODLANDS CRES,Model A,1998,460000
WOODLANDS,775 WOODLANDS CRES,Model A2,1997,473000
WOODLANDS,309 WOODLANDS AVE 1,Simplified,1989,376000
WOODLANDS,156 WOODLANDS ST 13,New Generation,1986,430000
WOODLANDS,347 WOODLANDS AVE 3,Improved,1988,545000
WOODLANDS,5A MARSILING DR,Model A,2002,430000
WOODLANDS,575 WOODLANDS DR 16,Model A2,2000,489000
WOODLANDS,168 WOODLANDS ST 11,New Generation,1986,475000
WOODLANDS,173 WOODLANDS ST 13,Improved,1989,525000
WOODLANDS,321 WOODLANDS ST 32,Simplified,1994,440000
WOODLANDS,506 WOODLANDS DR 14,Model A,1999,485000
WOODLANDS,620 WOODLANDS DR 52,Model A2,1998,460000
WOODLANDS,752 WOODLANDS CIRCLE,Improved,1998,580000
WOODLANDS,774 WOODLANDS CRES,Model A2,1997,460000
WOODLANDS,615 WOODLANDS AVE 4,Improved,1998,540000
WOODLANDS,584 WOODLANDS DR 16,Improved,2001,550000
WOODLANDS,554 WOODLANDS DR 53,Model A2,1999,445000
WOODLANDS,104 WOODLANDS ST 13,New Generation,1985,455000
WOODLANDS,786B WOODLANDS DR 60,Model A2,1997,520000
WOODLANDS,541 WOODLANDS DR 16,Improved,2000,600000
WOODLANDS,628B WOODLANDS RING RD,Improved,1998,520000
WOODLANDS,737 WOODLANDS CIRCLE,Model A2,1998,448000
WOODLANDS,577 WOODLANDS DR 16,Model A,2000,490000
WOODLANDS,159 WOODLANDS ST 13,Model A,1990,397000
WOODLANDS,701 WOODLANDS DR 40,Improved,1996,575000
WOODLANDS,725 WOODLANDS AVE 6,Improved,1997,500000
WOODLANDS,747 WOODLANDS CIRCLE,Improved,1998,565000
WOODLANDS,728 WOODLANDS CIRCLE,Model A2,1997,485000
WOODLANDS,546 WOODLANDS DR 16,Model A,2000,482000
WOODLANDS,171 WOODLANDS ST 11,New Generation,1985,433000
WOODLANDS,155 WOODLANDS ST 13,Model A,1985,395000
WOODLANDS,178 WOODLANDS ST 13,Improved,1986,485000
WOODLANDS,771 WOODLANDS DR 60,Model A,1997,467000
WOODLANDS,787B WOODLANDS CRES,Model A,1997,466000
WOODLANDS,617 WOODLANDS AVE 4,Model A2,1998,439000
WOODLANDS,721 WOODLANDS CIRCLE,Improved,1997,595000
WOODLANDS,710 WOODLANDS DR 70,Model A,1997,405088
WOODLANDS,624A WOODLANDS DR 52,Model A,1998,518000
WOODLANDS,708 WOODLANDS DR 70,Model A,1996,460000
WOODLANDS,632 WOODLANDS RING RD,Model A,1999,492000
WOODLANDS,790 WOODLANDS AVE 6,Model A,1997,480000
WOODLANDS,742 WOODLANDS CIRCLE,Improved,1997,572000
WOODLANDS,545 WOODLANDS DR 16,Model A,2000,485000
WOODLANDS,754 WOODLANDS CIRCLE,Model A,1997,460000
WOODLANDS,778 WOODLANDS DR 60,Model A,1997,480000
WOODLANDS,549 WOODLANDS DR 44,Model A,2000,455000
WOODLANDS,763 WOODLANDS AVE 6,Model A,1998,485000
WOODLANDS,845 WOODLANDS ST 82,Simplified,1994,425000
WOODLANDS,750 WOODLANDS AVE 4,Model A,1998,490000
WOODLANDS,110 WOODLANDS ST 13,New Generation,1987,465000
WOODLANDS,137 MARSILING RD,Improved,1985,500000
WOODLANDS,689B WOODLANDS DR 75,Premium Apartment,2004,580000
WOODLANDS,733 WOODLANDS CIRCLE,Improved,1997,570000
WOODLANDS,787C WOODLANDS CRES,Improved,1997,580000
WOODLANDS,406 WOODLANDS ST 41,Improved,1995,565000
WOODLANDS,739 WOODLANDS CIRCLE,Model A2,1997,470000
WOODLANDS,740 WOODLANDS CIRCLE,Improved,1997,512000
WOODLANDS,856 WOODLANDS ST 83,Model A,1996,480000
WOODLANDS,894C WOODLANDS DR 50,Model A,1996,498000
WOODLANDS,860 WOODLANDS ST 83,Model A,1996,490000
WOODLANDS,609 WOODLANDS RING RD,Improved,1998,570000
WOODLANDS,214 MARSILING LANE,Improved,1981,420000
WOODLANDS,215 MARSILING LANE,Improved,1980,530000
WOODLANDS,528 WOODLANDS DR 14,Premium Apartment,1999,525000
WOODLANDS,841 WOODLANDS ST 82,Model A,1996,460000
WOODLANDS,521 WOODLANDS DR 14,Premium Apartment,2000,508888
WOODLANDS,336 WOODLANDS AVE 1,Simplified,1985,420000
WOODLANDS,514 WOODLANDS DR 14,Premium Apartment,1999,640000
WOODLANDS,109 WOODLANDS ST 13,Model A,1995,650000
WOODLANDS,539 WOODLANDS DR 16,Improved,2000,612888
WOODLANDS,898A WOODLANDS DR 50,Model A,1997,420000
WOODLANDS,328 WOODLANDS ST 32,Apartment,1994,850000
WOODLANDS,682A WOODLANDS DR 62,Premium Apartment,2000,548000
WOODLANDS,319 WOODLANDS ST 31,Model A,1993,370000
WOODLANDS,36 MARSILING DR,Standard,1978,485000
WOODLANDS,891A WOODLANDS DR 50,Improved,1996,590000
WOODLANDS,547 WOODLANDS DR 16,Model A,2000,477000
WOODLANDS,540 WOODLANDS DR 16,Model A,2000,465000
WOODLANDS,744 WOODLANDS CIRCLE,Model A,1998,465000
WOODLANDS,543 WOODLANDS DR 16,Improved,2000,572000
WOODLANDS,764 WOODLANDS CIRCLE,Improved,2003,540000
WOODLANDS,586 WOODLANDS DR 16,Improved,2001,540000
WOODLANDS,723 WOODLANDS AVE 6,Improved,1997,615000
WOODLANDS,772 WOODLANDS DR 60,Improved,1997,585000
WOODLANDS,416 WOODLANDS ST 41,Improved,1996,553000
WOODLANDS,681D WOODLANDS DR 62,Premium Apartment,2000,500000
WOODLANDS,877 WOODLANDS AVE 9,Improved,1996,583000
WOODLANDS,686B WOODLANDS DR 73,Premium Apartment,2003,552000
WOODLANDS,522 WOODLANDS DR 14,Premium Apartment,2000,600000
WOODLANDS,871 WOODLANDS ST 81,Model A,1996,582000
WOODLANDS,787E WOODLANDS CRES,Improved,1997,588888
WOODLANDS,631 WOODLANDS RING RD,Improved,1998,550000
WOODLANDS,718 WOODLANDS AVE 6,Model A,1997,500000
WOODLANDS,717 WOODLANDS DR 70,Model A,1997,528000
WOODLANDS,688F WOODLANDS DR 75,Premium Apartment,2004,482500
WOODLANDS,607 WOODLANDS RING RD,Improved,1998,610000
WOODLANDS,417 WOODLANDS ST 41,Model A,1996,420000
WOODLANDS,587 WOODLANDS DR 16,Improved,2001,568888
WOODLANDS,527 WOODLANDS DR 14,Premium Apartment,1999,603000
WOODLANDS,720 WOODLANDS AVE 6,Model A,1997,520000
WOODLANDS,779 WOODLANDS CRES,Model A,1997,495000
WOODLANDS,897A WOODLANDS DR 50,Model A,1997,468000
WOODLANDS,671 WOODLANDS DR 71,Improved,2000,620000
WOODLANDS,170 WOODLANDS ST 11,Model A,1994,630000
WOODLANDS,585 WOODLANDS DR 16,Apartment,2001,685000
WOODLANDS,873 WOODLANDS ST 81,Model A,1996,520000
WOODLANDS,748 WOODLANDS CIRCLE,Improved,1998,560000
WOODLANDS,505 WOODLANDS DR 14,Model A,1999,480000
WOODLANDS,602 WOODLANDS DR 42,Improved,1997,550000
WOODLANDS,770 WOODLANDS DR 60,Improved,1997,560000
WOODLANDS,688B WOODLANDS DR 75,Premium Apartment,2004,588000
WOODLANDS,341 WOODLANDS AVE 1,Apartment,1995,890000
WOODLANDS,614 WOODLANDS AVE 4,Improved,1998,550000
WOODLANDS,663 WOODLANDS RING RD,Model A,1998,462000
WOODLANDS,683A WOODLANDS DR 62,Premium Apartment,2000,540000
WOODLANDS,896C WOODLANDS DR 50,Improved,1997,538888
WOODLANDS,857 WOODLANDS ST 83,Improved,1996,613000
WOODLANDS,689A WOODLANDS DR 75,Premium Apartment,2004,530000
WOODLANDS,786D WOODLANDS DR 60,Improved,1997,538000
WOODLANDS,513 WOODLANDS DR 14,Premium Apartment,1999,525000
WOODLANDS,767 WOODLANDS CIRCLE,Improved,2003,555000
WOODLANDS,501 WOODLANDS DR 14,Improved,1998,510000
WOODLANDS,731 WOODLANDS CIRCLE,Improved,1997,560000
WOODLANDS,35 MARSILING DR,Standard,1977,490000
WOODLANDS,687C WOODLANDS DR 75,Premium Apartment,2003,538888
WOODLANDS,534 WOODLANDS DR 14,Premium Apartment,1999,460000
WOODLANDS,879 WOODLANDS ST 82,Model A,1996,480000
WOODLANDS,681C WOODLANDS DR 62,Premium Apartment,2000,420000
WOODLANDS,583 WOODLANDS DR 16,Apartment,2001,670000
WOODLANDS,681A WOODLANDS DR 62,Premium Apartment,2000,620000
WOODLANDS,678 WOODLANDS AVE 6,Improved,1998,678000
WOODLANDS,517 WOODLANDS DR 14,Premium Apartment,2000,620000
WOODLANDS,589 WOODLANDS DR 16,Improved,2001,578000
WOODLANDS,670 WOODLANDS DR 71,Apartment,2000,728000
WOODLANDS,846 WOODLANDS AVE 4,Model A,1996,620000
WOODLANDS,509 WOODLANDS DR 14,Premium Apartment,1999,535000
WOODLANDS,893C WOODLANDS DR 50,Maisonette,1996,780000
WOODLANDS,635 WOODLANDS RING RD,Maisonette,1999,750000
WOODLANDS,302 WOODLANDS ST 31,Apartment,1993,800000
WOODLANDS,648 WOODLANDS RING RD,Apartment,1998,680000
WOODLANDS,652 WOODLANDS RING RD,Maisonette,1998,820000
WOODLANDS,788C WOODLANDS CRES,Maisonette,1999,700000
WOODLANDS,788D WOODLANDS CRES,Maisonette,1999,710000
WOODLANDS,118 MARSILING RISE,Apartment,1995,955000
WOODLANDS,658 WOODLANDS RING RD,Apartment,1998,768000
WOODLANDS,405 WOODLANDS ST 41,Apartment,1995,900000
WOODLANDS,419 WOODLANDS ST 41,Model A,1995,650000
WOODLANDS,821 WOODLANDS ST 82,Model A,1995,666000
WOODLANDS,402 WOODLANDS ST 41,Apartment,1995,918000
WOODLANDS,848 WOODLANDS ST 82,Apartment,1995,938000
WOODLANDS,342 WOODLANDS AVE 1,Apartment,1995,860000
WOODLANDS,847 WOODLANDS ST 82,Apartment,1995,860000
YISHUN,271 YISHUN ST 22,Simplified,1985,350000
YISHUN,107 YISHUN RING RD,New Generation,1982,340000
YISHUN,127 YISHUN ST 11,New Generation,1984,350000
YISHUN,640 YISHUN ST 61,New Generation,1992,485000
YISHUN,393 YISHUN AVE 6,Model A,1988,480000
YISHUN,263 YISHUN ST 22,Simplified,1986,365000
YISHUN,108 YISHUN RING RD,Improved,1985,325000
YISHUN,125 YISHUN ST 11,New Generation,1984,380000
YISHUN,269 YISHUN ST 22,Simplified,1988,351000
YISHUN,237 YISHUN RING RD,New Generation,1985,490000
YISHUN,797 YISHUN RING RD,Simplified,1987,238000
YISHUN,604 YISHUN ST 61,Apartment,1992,935000
YISHUN,165 YISHUN RING RD,Model A,1988,460000
YISHUN,118 YISHUN RING RD,Model A,1983,363000
YISHUN,220 YISHUN ST 21,New Generation,1985,453000
YISHUN,605 YISHUN ST 61,Simplified,1988,380000
YISHUN,123 YISHUN ST 11,New Generation,1985,338000
YISHUN,321 YISHUN CTRL,Model A,1988,493000
YISHUN,152 YISHUN ST 11,New Generation,1985,350000
YISHUN,632 YISHUN ST 61,Simplified,1987,368888
YISHUN,731 YISHUN ST 72,New Generation,1984,330000
YISHUN,701 YISHUN AVE 5,New Generation,1984,428000
YISHUN,708 YISHUN AVE 5,New Generation,1984,348000
YISHUN,126 YISHUN ST 11,New Generation,1984,378000
YISHUN,362 YISHUN RING RD,Model A,1988,350000
YISHUN,241 YISHUN RING RD,New Generation,1986,400000
YISHUN,242 YISHUN RING RD,New Generation,1986,465000
YISHUN,354 YISHUN RING RD,Model A,1989,380000
YISHUN,740 YISHUN AVE 5,New Generation,1985,355000
YISHUN,703 YISHUN AVE 5,New Generation,1984,388000
YISHUN,122 YISHUN ST 11,New Generation,1984,460000
YISHUN,228 YISHUN ST 21,New Generation,1985,390000
YISHUN,117 YISHUN RING RD,Model A,1983,420000
YISHUN,141 YISHUN RING RD,New Generation,1984,465000
YISHUN,720 YISHUN ST 71,Simplified,1985,428000
YISHUN,148 YISHUN ST 11,New Generation,1985,370000
YISHUN,208 YISHUN ST 21,New Generation,1985,385000
YISHUN,146 YISHUN ST 11,New Generation,1985,373000
YISHUN,423 YISHUN AVE 11,Simplified,1988,410000
