Station Code,MRT Station English Name,MRT Station Chinese Name,MRT Line English,MRT Line Chinese
JE4,Toh Guan,卓源,Jurong Region Line,裕廊区域线
SW7,Tongkang,同港,Sengkang LRT,盛港轻轨线
EW31,Tuas Crescent,大士弯站,East West Line,东西线
EW33,Tuas Link,大士连路站,East West Line,东西线
EW32,Tuas West Road,大士西路站,East West Line,东西线
JS10,Tukang,都康,Jurong Region Line,裕廊区域线
CR14,Turf City,马城,Cross Island Line,跨岛地铁线
DT27,Ubi,乌美,Downtown Line,滨海市区线
DT34,Upper Changi,樟宜上段,Downtown Line,滨海市区线
TE8,Upper Thomson,汤申路上段,Thomson-East Coast Line,汤申-东海岸地铁线
CR18,West Coast,西海岸,Cross Island Line,跨岛地铁线
NS9,Woodlands,兀兰,North South Line,南北线
TE2,Woodlands,兀兰,Thomson-East Coast Line,汤申-东海岸地铁线
TE1,Woodlands North,兀兰北,Thomson-East Coast Line,汤申-东海岸地铁线
TE3,Woodlands South,兀兰南,Thomson-East Coast Line,汤申-东海岸地铁线
NE11,Woodleigh,兀里,North East Line,东北线
NS5,Yew Tee,油池,North South Line,南北线
NS15,Yio Chu Kang,杨厝港,North South Line,南北线
NS13,Yishun,义顺,North South Line,南北线
