,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
1184,DAKOTA BREEZE,91B,JALAN SATU,DAKOTA BREEZE,91B JALAN SATU DAKOTA BREEZE SINGAPORE 392091,392091,34180.904583795,32481.7021714766,1.31002687481222,103.888857000288,103.888857000288,Dakota
1185,DAKOTA BREEZE,91A,JALAN SATU,DAKOTA BREEZE,91A JALAN SATU DAKOTA BREEZE SINGAPORE 391091,391091,34081.1892236816,32471.1236625072,1.30993122636998,103.887961007689,103.887961007689,Dakota
1186,DAKOTA BREEZE,90,JALAN SATU,DAKOTA BREEZE,90 JALAN SATU DAKOTA BREEZE SINGAPORE 390090,390090,34049.1903047794,32494.5214192793,1.31014283362498,103.887673486561,103.887673486561,Dakota
1187,DAKOTA BREEZE,90A,JALAN SATU,DAKOTA BREEZE,90A JALAN SATU DAKOTA BREEZE SINGAPORE 391090,391090,34069.5206435462,32527.8918410596,1.31044461981807,103.88785617098,103.88785617098,Dakota
1188,DAKOTA BREEZE,90B,JALAN SATU,DAKOTA BREEZE,90B JALAN SATU DAKOTA BREEZE SINGAPORE 392090,392090,34151.9060393153,32543.846095277,1.31058888807334,103.88859644672,103.88859644672,Dakota
1189,DAKOTA CREST,24A,JALAN ENAM,DAKOTA CREST,24A JALAN ENAM DAKOTA CREST SINGAPORE 391024,391024,33862.3757644519,32039.9855943993,1.30603220969223,103.885994782141,103.885994782141,Dakota
1190,FORMER CITY HALL,1,SAINT ANDREW'S ROAD,FORMER CITY HALL,1 SAINT ANDREW'S ROAD FORMER CITY HALL SINGAPORE 178957,178957,30053.3569255685,30350.2697735354,1.29075150227868,103.85176884833,103.85176884833,City Hall
1191,GRAND PARK CITY HALL,10,COLEMAN STREET,GRAND PARK CITY HALL,10 COLEMAN STREET GRAND PARK CITY HALL SINGAPORE 179809,179809,29880.6407580376,30560.2838456109,1.29265080651399,103.850216934055,103.850216934055,City Hall
1192,OCBC CITY HALL MRT STATION,150,NORTH BRIDGE ROAD,OCBC CITY HALL MRT STATION,150 NORTH BRIDGE ROAD OCBC CITY HALL MRT STATION SINGAPORE 179100,179100,30125.128883115,30619.5460454859,1.29318673733671,103.85241376747,103.85241376747,City Hall
1193,CITIBANK CITY HALL SMRT STATION,150,NORTH BRIDGE ROAD,CITIBANK CITY HALL SMRT STATION,150 NORTH BRIDGE ROAD CITIBANK CITY HALL SMRT STATION SINGAPORE 179100,179100,30129.7234722385,30614.2501774468,1.29313884305761,103.85245505145,103.85245505145,City Hall
1194,UOB CITY HALL MRT STATION,150,NORTH BRIDGE ROAD,UOB CITY HALL MRT STATION,150 NORTH BRIDGE ROAD UOB CITY HALL MRT STATION SINGAPORE 179100,179100,30139.4703986235,30597.7817004547,1.29298990728295,103.852542630611,103.852542630611,City Hall
1195,CITY HALL MRT STATION,150,NORTH BRIDGE ROAD,CITY HALL MRT STATION,150 NORTH BRIDGE ROAD CITY HALL MRT STATION SINGAPORE 179100,179100,30139.4703683555,30597.7816701867,1.29298990700923,103.852542630339,103.852542630339,City Hall
1196,CITY HALL MRT STATION (EW13 / NS25),150,NORTH BRIDGE ROAD,CITY HALL MRT STATION (EW13 / NS25),150 NORTH BRIDGE ROAD CITY HALL MRT STATION (EW13 / NS25) SINGAPORE 179100,179100,30144.2503791479,30591.9008128252,1.29293672227779,103.852585580366,103.852585580366,City Hall
1197,CITY HALL/ESPLANADE MRT STATION EXIT A,,NIL,CITY HALL/ESPLANADE MRT STATION EXIT A,CITY HALL/ESPLANADE MRT STATION EXIT A,NIL,30369.493817498,30415.3350117859,1.29133990707454,103.854609475029,103.854609475029,City Hall
1198,CITY HALL MRT STATION EXIT A,,NIL,CITY HALL MRT STATION EXIT A,CITY HALL MRT STATION EXIT A,NIL,30192.7711374983,30624.6704453975,1.2932330759348,103.853021562271,103.853021562271,City Hall
1199,CITY HALL/ESPLANADE MRT STATION EXIT B,,NIL,CITY HALL/ESPLANADE MRT STATION EXIT B,CITY HALL/ESPLANADE MRT STATION EXIT B,NIL,30385.8053549957,30457.5146578159,1.29172136370719,103.854756044222,103.854756044222,City Hall
1200,NOVENA CHURCH,300,THOMSON ROAD,NOVENA CHURCH,300 THOMSON ROAD NOVENA CHURCH SINGAPORE 307653,307653,29040.0795392348,33770.4665778745,1.32168260642724,103.84266424228,103.84266424228,Novena
1201,NOVENA COURT,14,JALAN NOVENA BARAT,NOVENA COURT,14 JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308609,308609,28963.3243516535,33866.5607066844,1.32255165025278,103.84197455945,103.84197455945,Novena
1202,NOVENA COURT,14E,JALAN NOVENA BARAT,NOVENA COURT,14E JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308609,308609,28977.4666432934,33866.0796576198,1.32254729936672,103.842101635427,103.842101635427,Novena
1203,NOVENA COURT,12E,JALAN NOVENA BARAT,NOVENA COURT,12E JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308608,308608,28977.6830896446,33873.1959935389,1.32261165698469,103.842103580538,103.842103580538,Novena
1204,NOVENA COURT,8E,JALAN NOVENA BARAT,NOVENA COURT,8E JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308606,308606,28978.1825719122,33887.1854621302,1.32273817277426,103.842108069095,103.842108069095,Novena
1205,NOVENA COURT,6,JALAN NOVENA BARAT,NOVENA COURT,6 JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308605,308605,28964.2863287115,33894.545394782,1.32280473384289,103.8419832042,103.8419832042,Novena
1206,NOVENA COURT,10,JALAN NOVENA BARAT,NOVENA COURT,10 JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308607,308607,28963.7928395057,33880.5516886748,1.32267817973033,103.841978769499,103.841978769499,Novena
1207,NOVENA COURT,22E,JALAN NOVENA BARAT,NOVENA COURT,22E JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308613,308613,28976.5576957427,33838.0944246985,1.3222942108477,103.842093467163,103.842093467163,Novena
1208,NOVENA COURT,10E,JALAN NOVENA BARAT,NOVENA COURT,10E JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308607,308607,28977.936372133,33880.0714265779,1.32267383596102,103.842105856634,103.842105856634,Novena
1209,NOVENA COURT,20,JALAN NOVENA BARAT,NOVENA COURT,20 JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308612,308612,28962.6333638532,33845.6886315458,1.32236289060953,103.841968349906,103.841968349906,Novena
1210,CORAL EDGE LRT STATION (PE3),70,PUNGGOL FIELD,CORAL EDGE LRT STATION (PE3),70 PUNGGOL FIELD CORAL EDGE LRT STATION (PE3) SINGAPORE 828856,828856,36820.844465619,41757.0644781347,1.39390922863313,103.912580845515,103.912580845515,Coral Edge
1211,BARTLEY BEACON,222,MOUNT VERNON ROAD,BARTLEY BEACON,222 MOUNT VERNON ROAD BARTLEY BEACON SINGAPORE 360222,360222,33099.4054019935,35894.3241102099,1.34088960796369,103.879139775745,103.879139775745,Bartley
1212,BARTLEY BEACON,223A,MOUNT VERNON ROAD,BARTLEY BEACON,223A MOUNT VERNON ROAD BARTLEY BEACON SINGAPORE 361223,361223,33034.5350895589,35861.6339310966,1.34059398058545,103.878556872023,103.878556872023,Bartley
1213,BARTLEY BEACON,224B,MOUNT VERNON ROAD,BARTLEY BEACON,224B MOUNT VERNON ROAD BARTLEY BEACON SINGAPORE 362224,362224,33146.6960694855,35983.8364962284,1.34169911790338,103.879564725676,103.879564725676,Bartley
1214,BARTLEY BEACON,222B,MOUNT VERNON ROAD,BARTLEY BEACON,222B MOUNT VERNON ROAD BARTLEY BEACON SINGAPORE 362222,362222,33204.6110414062,35943.0337710474,1.3413301027144,103.880085119266,103.880085119266,Bartley
