,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
488,CLEMENTI BUS INTERCHANGE,3155,COMMONWEALTH AVENUE WEST,CLEMENTI BUS INTERCHANGE,3155 COMMONWEALTH AVENUE WEST CLEMENTI BUS INTERCHANGE SINGAPORE 129588,129588,20315.6081870906,33027.9409066252,1.31496652285558,103.764270467593,103.764270467593,Clementi
489,TOA PAYOH INDUSTRIAL PARK (ROAD),,TOA PAYOH INDUSTRIAL PARK (ROAD),NIL,TOA PAYOH INDUSTRIAL PARK (ROAD),NIL,31047.383684755,35416.1017539335,1.33656501233423,103.860701065174,103.860701065174,Toa Payoh
490,LORONG 1 TOA PAYOH,,LORONG 1 TOA PAYOH,NIL,LORONG 1 TOA PAYOH,NIL,29137.1112448078,35463.9555182377,1.33698816679954,103.843534461049,103.843534461049,Toa Payoh
491,LORONG 1A TOA PAYOH,,LORONG 1A TOA PAYOH,NIL,LORONG 1A TOA PAYOH,NIL,29279.0138979202,35469.7752986426,1.33705054337653,103.844811264438,103.844811264438,Toa Payoh
492,LORONG 2 TOA PAYOH,,LORONG 2 TOA PAYOH,NIL,LORONG 2 TOA PAYOH,NIL,29494.4049108261,34643.9313953444,1.32958189414723,103.846746637791,103.846746637791,Toa Payoh
493,LORONG 3 TOA PAYOH,,LORONG 3 TOA PAYOH,NIL,LORONG 3 TOA PAYOH,NIL,29641.7232476289,35572.4941537124,1.3379795845024,103.848070034632,103.848070034632,Toa Payoh
494,LORONG 4 TOA PAYOH,,LORONG 4 TOA PAYOH,NIL,LORONG 4 TOA PAYOH,NIL,29938.8269927531,35304.8655968745,1.33555942701321,103.850739841348,103.850739841348,Toa Payoh
495,LORONG 5 TOA PAYOH,,LORONG 5 TOA PAYOH,NIL,LORONG 5 TOA PAYOH,NIL,30154.3560212739,35422.4978124711,1.33661894318103,103.852680379436,103.852680379436,Toa Payoh
496,LORONG 6 TOA PAYOH,,LORONG 6 TOA PAYOH,NIL,LORONG 6 TOA PAYOH,NIL,30144.9783339371,35670.1006774591,1.33885339996615,103.852601206902,103.852601206902,Toa Payoh
497,LORONG 7 TOA PAYOH,,LORONG 7 TOA PAYOH,NIL,LORONG 7 TOA PAYOH,NIL,30565.1275971141,35509.6382912923,1.3374047176853,103.856374192398,103.856374192398,Toa Payoh
498,LORONG 8 TOA PAYOH,,LORONG 8 TOA PAYOH,NIL,LORONG 8 TOA PAYOH,NIL,30573.9816323277,35774.7945299375,1.33980894621017,103.856447358496,103.856447358496,Toa Payoh
499,SIMEI GARDEN,22,JALAN SOO BEE,SIMEI GARDEN,22 JALAN SOO BEE SIMEI GARDEN SINGAPORE 488121,488121,41120.4831061736,35490.4551647957,1.33723474354996,103.951213693845,103.951213693845,Simei
500,SIMEI GARDEN,24,JALAN SOO BEE,SIMEI GARDEN,24 JALAN SOO BEE SIMEI GARDEN SINGAPORE 488122,488122,41117.7503007278,35502.9767572489,1.33734798533611,103.951189143446,103.951189143446,Simei
501,SIMEI GARDEN,31,SEA BREEZE ROAD,SIMEI GARDEN,31 SEA BREEZE ROAD SIMEI GARDEN SINGAPORE 487462,487462,41173.690165638,35469.7087925933,1.3370470979708,103.951691780319,103.951691780319,Simei
502,SIMEI GARDEN,29,SEA BREEZE ROAD,SIMEI GARDEN,29 SEA BREEZE ROAD SIMEI GARDEN SINGAPORE 487460,487460,41177.8434172925,35463.8445220869,1.33699406189146,103.951729097086,103.951729097086,Simei
503,SIMEI GARDEN,19,SEA BREEZE WALK,SIMEI GARDEN,19 SEA BREEZE WALK SIMEI GARDEN SINGAPORE 487407,487407,41117.139946836,35535.8550821487,1.3376453248761,103.951183673256,103.951183673256,Simei
504,SIMEI GARDEN,18A,JALAN SOO BEE,SIMEI GARDEN,18A JALAN SOO BEE SIMEI GARDEN SINGAPORE 488119,488119,41141.3500660239,35477.7146440186,1.33711951397715,103.951401189753,103.951401189753,Simei
505,SIMEI GARDEN,49,SEA BREEZE ROAD,SIMEI GARDEN,49 SEA BREEZE ROAD SIMEI GARDEN SINGAPORE 487480,487480,41135.9802230326,35559.0350607801,1.33785494774551,103.951352973817,103.951352973817,Simei
506,SIMEI GARDEN,47,SEA BREEZE ROAD,SIMEI GARDEN,47 SEA BREEZE ROAD SIMEI GARDEN SINGAPORE 487478,487478,41143.7807061886,35545.2979666367,1.33773071121097,103.951423059639,103.951423059639,Simei
507,SIMEI GARDEN,45,SEA BREEZE ROAD,SIMEI GARDEN,45 SEA BREEZE ROAD SIMEI GARDEN SINGAPORE 487476,487476,41146.4792482769,35538.7718261331,1.3376716900631,103.951447304745,103.951447304745,Simei
508,SIMEI GARDEN,39,SEA BREEZE ROAD,SIMEI GARDEN,39 SEA BREEZE ROAD SIMEI GARDEN SINGAPORE 487470,487470,41159.0848343838,35506.3327199426,1.33737831743308,103.951560559032,103.951560559032,Simei
509,LAKESIDE,,NIL,LAKESIDE,LAKESIDE,NIL,16637.3959509274,35150.1586104073,1.33415793802063,103.731219131213,103.731219131213,Lakeside
510,LAKESIDE FAMILY SERVICE CENTRE (JURONG EAST),302,JURONG EAST STREET 32,LAKESIDE FAMILY SERVICE CENTRE (JURONG EAST),302 JURONG EAST STREET 32 LAKESIDE FAMILY SERVICE CENTRE (JURONG EAST) SINGAPORE 600302,600302,16998.8664430575,36314.4931518231,1.3446878841616,103.734466723494,103.734466723494,Lakeside
511,LAKESIDE FAMILY SERVICE CENTRE (JURONG WEST),516,JURONG WEST STREET 52,LAKESIDE FAMILY SERVICE CENTRE (JURONG WEST),516 JURONG WEST STREET 52 LAKESIDE FAMILY SERVICE CENTRE (JURONG WEST) SINGAPORE 640516,640516,15452.2176954718,36404.8523754906,1.34550445307942,103.720569126146,103.720569126146,Lakeside
512,LAKESIDE GROVE,32,CORPORATION RISE,LAKESIDE GROVE,32 CORPORATION RISE LAKESIDE GROVE SINGAPORE 618346,618346,15090.7519251471,35690.7005780749,1.33904577787281,103.71732144521,103.71732144521,Lakeside
513,LAKESIDE GROVE,32,CORPORATION WALK,LAKESIDE GROVE,32 CORPORATION WALK LAKESIDE GROVE SINGAPORE 618435,618435,15250.8718593782,35848.8097193427,1.34047572605207,103.718760147971,103.718760147971,Lakeside
514,LAKESIDE GROVE,3,CORPORATION WALK,LAKESIDE GROVE,3 CORPORATION WALK LAKESIDE GROVE SINGAPORE 618406,618406,15188.975981703,35755.8263825588,1.3396347932136,103.718204017042,103.718204017042,Lakeside
515,LAKESIDE GROVE,3,CORPORATION RISE,LAKESIDE GROVE,3 CORPORATION RISE LAKESIDE GROVE SINGAPORE 618317,618317,15190.985563946,35708.9867080245,1.33921119353251,103.718222094058,103.718222094058,Lakeside
516,LAKESIDE GROVE,77,CORPORATION WALK,LAKESIDE GROVE,77 CORPORATION WALK LAKESIDE GROVE SINGAPORE 618467,618467,15290.2280776184,35845.2140342165,1.34044322464132,103.719113787824,103.719113787824,Lakeside
517,LAKESIDE GROVE,84,CORPORATION RISE,LAKESIDE GROVE,84 CORPORATION RISE LAKESIDE GROVE SINGAPORE 618398,618398,15149.2103284476,35756.3028308917,1.33963908511399,103.717846699618,103.717846699618,Lakeside
518,LAKESIDE GROVE,79,CORPORATION RISE,LAKESIDE GROVE,79 CORPORATION RISE LAKESIDE GROVE SINGAPORE 618393,618393,15114.785763598,35779.9273856655,1.33985272207415,103.717537365113,103.717537365113,Lakeside
519,NAPIER MRT STATION (TE12),2,NAPIER ROAD,NAPIER MRT STATION (TE12),2 NAPIER ROAD NAPIER MRT STATION (TE12) SINGAPORE 258511,258511,26401.666707457,32122.8625724912,1.30678223364785,103.818956796815,103.818956796815,Napier
520,NAPIER MRT STATION EXIT 1,,NIL,NAPIER MRT STATION EXIT 1,NAPIER MRT STATION EXIT 1,NIL,26458.3257396612,32140.4365875889,1.3069411697217,103.819465904198,103.819465904198,Napier
521,NAPIER MRT STATION EXIT 2,,NIL,NAPIER MRT STATION EXIT 2,NAPIER MRT STATION EXIT 2,NIL,26459.8074180009,32076.0897902008,1.30635924005631,103.819479220969,103.819479220969,Napier
522,NOVENA CHURCH,300,THOMSON ROAD,NOVENA CHURCH,300 THOMSON ROAD NOVENA CHURCH SINGAPORE 307653,307653,29040.0795392348,33770.4665778745,1.32168260642724,103.84266424228,103.84266424228,Novena
523,NOVENA COURT,14,JALAN NOVENA BARAT,NOVENA COURT,14 JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308609,308609,28963.3243516535,33866.5607066844,1.32255165025278,103.84197455945,103.84197455945,Novena
524,NOVENA COURT,14E,JALAN NOVENA BARAT,NOVENA COURT,14E JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308609,308609,28977.4666432934,33866.0796576198,1.32254729936672,103.842101635427,103.842101635427,Novena
525,NOVENA COURT,12E,JALAN NOVENA BARAT,NOVENA COURT,12E JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308608,308608,28977.6830896446,33873.1959935389,1.32261165698469,103.842103580538,103.842103580538,Novena
526,NOVENA COURT,8E,JALAN NOVENA BARAT,NOVENA COURT,8E JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308606,308606,28978.1825719122,33887.1854621302,1.32273817277426,103.842108069095,103.842108069095,Novena
527,NOVENA COURT,6,JALAN NOVENA BARAT,NOVENA COURT,6 JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308605,308605,28964.2863287115,33894.545394782,1.32280473384289,103.8419832042,103.8419832042,Novena
528,NOVENA COURT,10,JALAN NOVENA BARAT,NOVENA COURT,10 JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308607,308607,28963.7928395057,33880.5516886748,1.32267817973033,103.841978769499,103.841978769499,Novena
529,NOVENA COURT,22E,JALAN NOVENA BARAT,NOVENA COURT,22E JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308613,308613,28976.5576957427,33838.0944246985,1.3222942108477,103.842093467163,103.842093467163,Novena
530,NOVENA COURT,10E,JALAN NOVENA BARAT,NOVENA COURT,10E JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308607,308607,28977.936372133,33880.0714265779,1.32267383596102,103.842105856634,103.842105856634,Novena
531,NOVENA COURT,20,JALAN NOVENA BARAT,NOVENA COURT,20 JALAN NOVENA BARAT NOVENA COURT SINGAPORE 308612,308612,28962.6333638532,33845.6886315458,1.32236289060953,103.841968349906,103.841968349906,Novena
532,SINGAPORE BOTANIC GARDENS,1,CLUNY ROAD,SINGAPORE BOTANIC GARDENS,1 CLUNY ROAD SINGAPORE BOTANIC GARDENS SINGAPORE 259569,259569,25758.773129099,32863.4073555451,1.31347941910133,103.813180039922,103.813180039922,Botanic Gardens
533,SINGAPORE BOTANIC GARDENS (BURKILL HALL),1,CLUNY ROAD,SINGAPORE BOTANIC GARDENS (BURKILL HALL),1 CLUNY ROAD SINGAPORE BOTANIC GARDENS (BURKILL HALL) SINGAPORE 259569,259569,25813.4381670719,32736.4566215388,1.31233132546999,103.813671241453,103.813671241453,Botanic Gardens
534,SINGAPORE BOTANIC GARDENS (COOL HOUSE),1,CLUNY ROAD,SINGAPORE BOTANIC GARDENS (COOL HOUSE),1 CLUNY ROAD SINGAPORE BOTANIC GARDENS (COOL HOUSE) SINGAPORE 259569,259569,25913.4923167275,32887.7923631426,1.3136999593839,103.814570267153,103.814570267153,Botanic Gardens
535,SINGAPORE BOTANIC GARDENS (EJH CORNER HOUSE),1,CLUNY ROAD,SINGAPORE BOTANIC GARDENS (EJH CORNER HOUSE),1 CLUNY ROAD SINGAPORE BOTANIC GARDENS (EJH CORNER HOUSE) SINGAPORE 259569,259569,26002.3859343547,33034.7660645433,1.31502914349758,103.81536901111,103.81536901111,Botanic Gardens
536,SINGAPORE BOTANIC GARDENS (RIDLEY HALL),1,CLUNY ROAD,SINGAPORE BOTANIC GARDENS (RIDLEY HALL),1 CLUNY ROAD SINGAPORE BOTANIC GARDENS (RIDLEY HALL) SINGAPORE 259569,259569,26288.353516194,32339.0789479129,1.30873761218125,103.817938612182,103.817938612182,Botanic Gardens
537,SINGAPORE BOTANIC GARDENS (TAMAN SERASI FOOD GARDEN),1,CLUNY ROAD,SINGAPORE BOTANIC GARDENS (TAMAN SERASI FOOD GARDEN),1 CLUNY ROAD SINGAPORE BOTANIC GARDENS (TAMAN SERASI FOOD GARDEN) SINGAPORE 259569,259569,25995.6525186971,32620.0905711707,1.31127896443187,103.815308534846,103.815308534846,Botanic Gardens
538,SINGAPORE BOTANIC GARDENS (BOTANY CENTRE),1,CLUNY ROAD,SINGAPORE BOTANIC GARDENS (BOTANY CENTRE),1 CLUNY ROAD SINGAPORE BOTANIC GARDENS (BOTANY CENTRE) SINGAPORE 259569,259569,26289.2868597405,32309.1459399704,1.3084669086732,103.817947000372,103.817947000372,Botanic Gardens
539,SINGAPORE BOTANIC GARDENS (HOLTTUM HALL),1,CLUNY ROAD,SINGAPORE BOTANIC GARDENS (HOLTTUM HALL),1 CLUNY ROAD SINGAPORE BOTANIC GARDENS (HOLTTUM HALL) SINGAPORE 259569,259569,26251.5821837634,32337.2866292559,1.30872140102123,103.817608204182,103.817608204182,Botanic Gardens
540,SINGAPORE BOTANIC GARDENS (PALM VALLEY),1,CLUNY ROAD,SINGAPORE BOTANIC GARDENS (PALM VALLEY),1 CLUNY ROAD SINGAPORE BOTANIC GARDENS (PALM VALLEY) SINGAPORE 259569,259569,25989.5954411356,32781.4922031723,1.31273862337468,103.815254098559,103.815254098559,Botanic Gardens
541,SINGAPORE BOTANIC GARDENS (SYMPHONY STAGE),1,CLUNY ROAD,SINGAPORE BOTANIC GARDENS (SYMPHONY STAGE),1 CLUNY ROAD SINGAPORE BOTANIC GARDENS (SYMPHONY STAGE) SINGAPORE 259569,259569,25961.918336289,32910.5974122584,1.31390620343792,103.815005397569,103.815005397569,Botanic Gardens
542,NICOLL HIGHWAY,,NICOLL HIGHWAY,NIL,NICOLL HIGHWAY,NIL,31504.7411066997,31567.6324722245,1.30175225605523,103.864798068496,103.864798068496,Nicoll Highway
543,NICOLL HIGHWAY MRT STATION (CC5),20,REPUBLIC AVENUE,NICOLL HIGHWAY MRT STATION (CC5),20 REPUBLIC AVENUE NICOLL HIGHWAY MRT STATION (CC5) SINGAPORE 038970,038970,31374.1649264134,31347.1528697051,1.29976684675139,103.86363696572,103.86363696572,Nicoll Highway
544,OCBC NICOLL HIGHWAY MRT STATION,20,REPUBLIC AVENUE,OCBC NICOLL HIGHWAY MRT STATION,20 REPUBLIC AVENUE OCBC NICOLL HIGHWAY MRT STATION SINGAPORE 038970,038970,31419.0320969848,31327.3072121609,1.29958736473477,103.864040115181,103.864040115181,Nicoll Highway
545,DBS NICOLL HIGHWAY MRT STATION,20,REPUBLIC AVENUE,DBS NICOLL HIGHWAY MRT STATION,20 REPUBLIC AVENUE DBS NICOLL HIGHWAY MRT STATION SINGAPORE 038970,038970,31412.0882280367,31325.2134546544,1.29956843029404,103.863977721184,103.863977721184,Nicoll Highway
546,UOB NICOLL HIGHWAY CCL STATION,20,REPUBLIC AVENUE,UOB NICOLL HIGHWAY CCL STATION,20 REPUBLIC AVENUE UOB NICOLL HIGHWAY CCL STATION SINGAPORE 038970,038970,31419.0320969848,31327.3072121609,1.29958736473477,103.864040115181,103.864040115181,Nicoll Highway
547,NICOLL HIGHWAY MRT STATION EXIT A,,NIL,NICOLL HIGHWAY MRT STATION EXIT A,NICOLL HIGHWAY MRT STATION EXIT A,NIL,31359.4459994156,31392.235790465,1.30017456235547,103.863504714405,103.863504714405,Nicoll Highway
548,NICOLL HIGHWAY MRT STATION EXIT B,,NIL,NICOLL HIGHWAY MRT STATION EXIT B,NICOLL HIGHWAY MRT STATION EXIT B,NIL,31432.8641115241,31335.6263372172,1.29966259843937,103.864164402932,103.864164402932,Nicoll Highway
549,NICOLL HIGHWAY - ERP(2),,NIL,NICOLL HIGHWAY - ERP(2),NICOLL HIGHWAY - ERP(2),NIL,31197.3073722785,31342.7788433786,1.29972730828727,103.862047820897,103.862047820897,Nicoll Highway
550,COMPASSVALE ANCILLA,279,SENGKANG EAST AVENUE,COMPASSVALE ANCILLA,279 SENGKANG EAST AVENUE COMPASSVALE ANCILLA SINGAPORE 540279,540279,34641.2740479829,40906.581959093,1.38621835522425,103.89299549602,103.89299549602,Compassvale
551,COMPASSVALE ANCILLA,281B,SENGKANG EAST AVENUE,COMPASSVALE ANCILLA,281B SENGKANG EAST AVENUE COMPASSVALE ANCILLA SINGAPORE 542281,542281,34514.8645963287,40852.3877093401,1.38572827063194,103.891859598966,103.891859598966,Compassvale
552,COMPASSVALE ANCILLA,280B,SENGKANG EAST AVENUE,COMPASSVALE ANCILLA,280B SENGKANG EAST AVENUE COMPASSVALE ANCILLA SINGAPORE 542280,542280,34540.7060084995,40900.3453923892,1.38616197671749,103.892091814343,103.892091814343,Compassvale
553,COMPASSVALE ANCILLA,282A,SENGKANG EAST AVENUE,COMPASSVALE ANCILLA,282A SENGKANG EAST AVENUE COMPASSVALE ANCILLA SINGAPORE 541282,541282,34520.1808952568,40803.9015472941,1.38528977819863,103.891907359174,103.891907359174,Compassvale
554,COMPASSVALE ANCILLA,282,SENGKANG EAST AVENUE,COMPASSVALE ANCILLA,282 SENGKANG EAST AVENUE COMPASSVALE ANCILLA SINGAPORE 540282,540282,34493.2090344308,40821.1222744863,1.38544552221976,103.8916650004,103.8916650004,Compassvale
555,COMPASSVALE ANCILLA,279A,SENGKANG EAST AVENUE,COMPASSVALE ANCILLA,279A SENGKANG EAST AVENUE COMPASSVALE ANCILLA SINGAPORE 541279,541279,34649.0924497852,40857.5206750911,1.38577466101388,103.893065739187,103.893065739187,Compassvale
556,COMPASSVALE ANCILLA,,NIL,COMPASSVALE ANCILLA,COMPASSVALE ANCILLA,NIL,34565.6408945573,40847.952027129,1.38568814454523,103.892315861524,103.892315861524,Compassvale
557,COMPASSVALE ANCILLA,281,SENGKANG EAST AVENUE,COMPASSVALE ANCILLA,281 SENGKANG EAST AVENUE COMPASSVALE ANCILLA SINGAPORE 540281,540281,34469.8897928074,40829.7839423157,1.38552386038122,103.89145546126,103.89145546126,Compassvale
558,COMPASSVALE ANCILLA,279B,SENGKANG EAST AVENUE,COMPASSVALE ANCILLA,279B SENGKANG EAST AVENUE COMPASSVALE ANCILLA SINGAPORE 542279,542279,34640.2281983411,40817.8166777175,1.38541559450444,103.892986078183,103.892986078183,Compassvale
559,COMPASSVALE ANCILLA,281A,SENGKANG EAST AVENUE,COMPASSVALE ANCILLA,281A SENGKANG EAST AVENUE COMPASSVALE ANCILLA SINGAPORE 541281,541281,34481.6454539308,40892.6328679938,1.38609224063789,103.891561108663,103.891561108663,Compassvale
560,HOUGANG 1,1,HOUGANG STREET 91,HOUGANG 1,1 HOUGANG STREET 91 HOUGANG 1 SINGAPORE 538692,538692,33136.3424516348,39745.1742408983,1.37571530699875,103.879472337592,103.879472337592,Hougang
561,HOUGANG 105 HAINANESE VILLAGE CENTRE,105,HOUGANG AVENUE 1,HOUGANG 105 HAINANESE VILLAGE CENTRE,105 HOUGANG AVENUE 1 HOUGANG 105 HAINANESE VILLAGE CENTRE SINGAPORE 530105,530105,34322.5106820343,37353.179481376,1.35408273910145,103.890130407955,103.890130407955,Hougang
