,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
345,DBS SEMBAWANG SHOPPING CENTRE,604,SEMBAWANG ROAD,DBS SEMBAWANG SHOPPING CENTRE,604 SEMBAWANG ROAD DBS SEMBAWANG SHOPPING CENTRE SINGAPORE 758459,758459,27070.9749130616,47058.3069912065,1.44185307934021,103.824970378482,103.824970378482,Sembawang Shopping Centre
346,UOB SEMBAWANG SHOPPING CENTRE,604,SEMBAWANG ROAD,UOB SEMBAWANG SHOPPING CENTRE,604 SEMBAWANG ROAD UOB SEMBAWANG SHOPPING CENTRE SINGAPORE 758459,758459,27018.0804916006,47048.8058105819,1.44176715230315,103.82449507066,103.82449507066,Sembawang Shopping Centre
347,OCBC SUN PLAZA - FAIRPRICE,30,SEMBAWANG DRIVE,OCBC SUN PLAZA - FAIRPRICE,30 SEMBAWANG DRIVE OCBC SUN PLAZA - FAIRPRICE SINGAPORE 757713,757713,26458.2477087993,47759.4978866559,1.44819436804175,103.819464386349,103.819464386349,Sun Plaza
348,DBS NTUC SUN PLAZA,30,SEMBAWANG DRIVE,DBS NTUC SUN PLAZA,30 SEMBAWANG DRIVE DBS NTUC SUN PLAZA SINGAPORE 757713,757713,26465.5651452029,47760.16105818,1.44820036592783,103.819530140823,103.819530140823,Sun Plaza
349,OCBC SUN PLAZA BRANCH,30,SEMBAWANG DRIVE,OCBC SUN PLAZA BRANCH,30 SEMBAWANG DRIVE OCBC SUN PLAZA BRANCH SINGAPORE 757713,757713,26458.2477087993,47759.4978866559,1.44819436804175,103.819464386349,103.819464386349,Sun Plaza
350,SUN PLAZA,30,SEMBAWANG DRIVE,SUN PLAZA,30 SEMBAWANG DRIVE SUN PLAZA SINGAPORE 757713,757713,26462.4476639526,47759.6068513971,1.44819535371132,103.819502127155,103.819502127155,Sun Plaza
351,UOB SUN PLAZA,30,SEMBAWANG DRIVE,UOB SUN PLAZA,30 SEMBAWANG DRIVE UOB SUN PLAZA SINGAPORE 757713,757713,26464.8539081216,47763.5633006208,1.44823113453257,103.819523749458,103.819523749458,Sun Plaza
352,SUN PLAZA SPRING,400A,TAMPINES STREET 41,SUN PLAZA SPRING,400A TAMPINES STREET 41 SUN PLAZA SPRING SINGAPORE 521400,521400,40933.2037706887,37850.6498963386,1.3585795422464,103.949531894985,103.949531894985,Sun Plaza
353,SUN PLAZA SPRING,400B,TAMPINES STREET 41,SUN PLAZA SPRING,400B TAMPINES STREET 41 SUN PLAZA SPRING SINGAPORE 522400,522400,40880.5625711791,37851.3107674941,1.358585541762,103.949058880225,103.949058880225,Sun Plaza
354,SUN PLAZA SPRING,400C,TAMPINES STREET 41,SUN PLAZA SPRING,400C TAMPINES STREET 41 SUN PLAZA SPRING SINGAPORE 523400,523400,40833.1142982962,37806.8591460716,1.35818355846513,103.948632507904,103.948632507904,Sun Plaza
355,SUN PLAZA GREEN,401,TAMPINES STREET 41,SUN PLAZA GREEN,401 TAMPINES STREET 41 SUN PLAZA GREEN SINGAPORE 520401,520401,40419.1449872516,37684.0250091907,1.3570728680964,103.944912676662,103.944912676662,Sun Plaza
356,SUN PLAZA GREEN,402,TAMPINES STREET 41,SUN PLAZA GREEN,402 TAMPINES STREET 41 SUN PLAZA GREEN SINGAPORE 520402,520402,40484.8546611425,37710.9413585346,1.35731626202304,103.945503131291,103.945503131291,Sun Plaza
357,UOB VISTA POINT,548,WOODLANDS DRIVE 44,UOB VISTA POINT,548 WOODLANDS DRIVE 44 UOB VISTA POINT SINGAPORE 730548,730548,23559.4773086179,45840.5805134811,1.43084006826605,103.793416329134,103.793416329134,Vista Point
358,VISTA POINT,548,WOODLANDS DRIVE 44,VISTA POINT,548 WOODLANDS DRIVE 44 VISTA POINT SINGAPORE 730548,730548,23616.35523888,45846.8909037989,1.43089714603015,103.793927429476,103.793927429476,Vista Point
359,OCBC VISTA POINT,548,WOODLANDS DRIVE 44,OCBC VISTA POINT,548 WOODLANDS DRIVE 44 OCBC VISTA POINT SINGAPORE 730548,730548,23636.0932937423,45836.2745901179,1.4308011390122,103.794104795966,103.794104795966,Vista Point
360,DBS VISTA POINT,548,WOODLANDS DRIVE 44,DBS VISTA POINT,548 WOODLANDS DRIVE 44 DBS VISTA POINT SINGAPORE 730548,730548,23635.7351932265,45858.1880049687,1.43099931590445,103.794101574732,103.794101574732,Vista Point
361,OCBC VISTA POINT - CHEERS,548,WOODLANDS DRIVE 44,OCBC VISTA POINT - CHEERS,548 WOODLANDS DRIVE 44 OCBC VISTA POINT - CHEERS SINGAPORE 730548,730548,23636.0932937423,45836.2745901179,1.4308011390122,103.794104795966,103.794104795966,Vista Point
362,WISTERIA MALL,598,YISHUN RING ROAD,WISTERIA MALL,598 YISHUN RING ROAD WISTERIA MALL SINGAPORE 768698,768698,28884.7489383351,44415.5435907897,1.41795288501536,103.841268831617,103.841268831617,Wisteria Mall
363,OCBC WISTERIA MALL - FAIRPRICE,598,YISHUN RING ROAD,OCBC WISTERIA MALL - FAIRPRICE,598 YISHUN RING ROAD OCBC WISTERIA MALL - FAIRPRICE SINGAPORE 768698,768698,28890.1419363339,44419.6134541482,1.41798969122298,103.841317292608,103.841317292608,Wisteria Mall
364,OCBC WOODLANDS MART,768,WOODLANDS AVENUE 6,OCBC WOODLANDS MART,768 WOODLANDS AVENUE 6 OCBC WOODLANDS MART SINGAPORE 730768,730768,24087.6564999428,47477.9444967583,1.44564787003157,103.798162285805,103.798162285805,Woodlands Mart
365,UOB WOODLANDS MART,768,WOODLANDS AVENUE 6,UOB WOODLANDS MART,768 WOODLANDS AVENUE 6 UOB WOODLANDS MART SINGAPORE 730768,730768,24087.6564999428,47477.9444967583,1.44564787003157,103.798162285805,103.798162285805,Woodlands Mart
366,WOODLANDS MART,768,WOODLANDS AVENUE 6,WOODLANDS MART,768 WOODLANDS AVENUE 6 WOODLANDS MART SINGAPORE 730768,730768,24085.287001106,47475.1842685193,1.44562290720221,103.798140993891,103.798140993891,Woodlands Mart
