,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
34,YU NENG PRIMARY SCHOOL,56,BEDOK NORTH STREET 3,YU NENG PRIMARY SCHOOL,56 BEDOK NORTH STREET 3 YU NENG PRIMARY SCHOOL SINGAPORE 469623,469623,38998.3352306299,35120.4393246993,1.33388930344069,103.932144857355,103.932144857355,Yu Neng Primary School
35,SENGKANG GREEN PRIMARY SCHOOL,15,FERNVALE ROAD,SENGKANG GREEN PRIMARY SCHOOL,15 FERNVALE ROAD SENGKANG GREEN PRIMARY SCHOOL SINGAPORE 797636,797636,32662.8166451091,41639.3984784018,1.39284606680477,103.875217666486,103.875217666486,Sengkang Green Primary School
36,PASIR RIS PRIMARY SCHOOL,5,PASIR RIS STREET 21,PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21 PASIR RIS PRIMARY SCHOOL SINGAPORE 518968,518968,42410.5136828674,39380.9927665386,1.37241870245531,103.962807212116,103.962807212116,Pasir Ris Primary School
37,YANGZHENG PRIMARY SCHOOL,15,SERANGOON AVENUE 3,YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3 YANGZHENG PRIMARY SCHOOL SINGAPORE 556108,556108,31925.931594234,36751.9403087255,1.34864575840923,103.868595527042,103.868595527042,Yangzheng Primary School
38,CHONGFU SCHOOL,170,YISHUN AVENUE 6,CHONGFU SCHOOL,170 YISHUN AVENUE 6 CHONGFU SCHOOL SINGAPORE 768959,768959,28666.6613053558,46675.9986570273,1.43839562897006,103.839309173817,103.839309173817,Chongfu School
39,SHG STUDENT CARE (CHONGFU SCHOOL),170,YISHUN AVENUE 6,SHG STUDENT CARE (CHONGFU SCHOOL),170 YISHUN AVENUE 6 SHG STUDENT CARE (CHONGFU SCHOOL) SINGAPORE 768959,768959,28640.1243954552,46683.3712114282,1.43846230429529,103.839070714229,103.839070714229,Chongfu School
40,EPWORTH STUDENT CARE (ANGLO-CHINESE SCHOOL JUNIOR),16,WINSTEDT ROAD,EPWORTH STUDENT CARE (ANGLO-CHINESE SCHOOL JUNIOR),16 WINSTEDT ROAD EPWORTH STUDENT CARE (ANGLO-CHINESE SCHOOL JUNIOR) SINGAPORE 227988,227988,28916.3166898089,32403.7520947009,1.30932252730174,103.841552127373,103.841552127373,Anglo-Chinese School (Junior)
41,ANGLO-CHINESE SCHOOL (JUNIOR),16,WINSTEDT ROAD,ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD ANGLO-CHINESE SCHOOL (JUNIOR) SINGAPORE 227988,227988,28849.3350947062,32406.8353125956,1.30935041274966,103.840950265464,103.840950265464,Anglo-Chinese School (Junior)
42,ADMIRALTY PRIMARY SCHOOL,11,WOODLANDS CIRCLE,ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE ADMIRALTY PRIMARY SCHOOL SINGAPORE 738907,738907,24296.6250855923,47144.7700594738,1.4426347903311,103.800040119743,103.800040119743,Admiralty Primary School
43,THE LEARNING HARBOUR @ ADMIRALTY PRIMARY SCHOOL,11,WOODLANDS CIRCLE,THE LEARNING HARBOUR @ ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE THE LEARNING HARBOUR @ ADMIRALTY PRIMARY SCHOOL SINGAPORE 738907,738907,24315.9398124339,47135.3542042952,1.44254963931583,103.800213682734,103.800213682734,Admiralty Primary School
44,XINMIN PRIMARY SCHOOL,9,HOUGANG AVENUE 8,XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8 XINMIN PRIMARY SCHOOL SINGAPORE 538784,538784,33537.9261037428,39267.5186706744,1.37139548941931,103.883080767491,103.883080767491,Xinmin Primary School
45,KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL),90,BUKIT BATOK EAST AVENUE 6,KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL),90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762,659762,19386.7443935787,36355.9404942542,1.34506349843091,103.75592322797,103.75592322797,Keming Primary School
46,KEMING PRIMARY SCHOOL,90,BUKIT BATOK EAST AVENUE 6,KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6 KEMING PRIMARY SCHOOL SINGAPORE 659762,659762,19445.3031655131,36407.3561431039,1.34552849960874,103.756449399351,103.756449399351,Keming Primary School
47,FERN GREEN PRIMARY SCHOOL,70,FERNVALE LINK,FERN GREEN PRIMARY SCHOOL,70 FERNVALE LINK FERN GREEN PRIMARY SCHOOL SINGAPORE 797538,797538,33231.7764054528,42128.5479522273,1.39726966050479,103.880330305684,103.880330305684,Fern Green Primary School
48,CHIJ PRIMARY (TOA PAYOH),628,LORONG 1 TOA PAYOH,CHIJ PRIMARY (TOA PAYOH),628 LORONG 1 TOA PAYOH CHIJ PRIMARY (TOA PAYOH) SINGAPORE 319765,319765,28949.1537291808,34994.5345916729,1.33275264711587,103.841847263786,103.841847263786,CHIJ Primary (Toa Payoh)
49,YMCA STUDENT CARE CENTRE @ CHIJ PRIMARY (TOA PAYOH),628,LORONG 1 TOA PAYOH,YMCA STUDENT CARE CENTRE @ CHIJ PRIMARY (TOA PAYOH),628 LORONG 1 TOA PAYOH YMCA STUDENT CARE CENTRE @ CHIJ PRIMARY (TOA PAYOH) SINGAPORE 319765,319765,28949.1543042725,34994.5335020255,1.33275263726147,103.841847268953,103.841847268953,CHIJ Primary (Toa Payoh)
50,DAZHONG PRIMARY SCHOOL,35,BUKIT BATOK STREET 31,DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31 DAZHONG PRIMARY SCHOOL SINGAPORE 659441,659441,18557.5702323942,37916.8722190689,1.3591797447277,103.74847210784,103.74847210784,Dazhong Primary School
51,WATERWAY PRIMARY SCHOOL,70,PUNGGOL DRIVE,WATERWAY PRIMARY SCHOOL,70 PUNGGOL DRIVE WATERWAY PRIMARY SCHOOL SINGAPORE 828802,828802,37493.0794339096,42300.9820826855,1.39882800626578,103.918621581556,103.918621581556,Waterway Primary School
52,AFTERSCHOOL @ RIVER VALLEY PRIMARY SCHOOL,2,RIVER VALLEY GREEN,AFTERSCHOOL @ RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN AFTERSCHOOL @ RIVER VALLEY PRIMARY SCHOOL SINGAPORE 237993,237993,28300.5267893467,30729.7527125087,1.29418347842837,103.836018941571,103.836018941571,River Valley Primary School
53,RIVER VALLEY PRIMARY SCHOOL,2,RIVER VALLEY GREEN,RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN RIVER VALLEY PRIMARY SCHOOL SINGAPORE 237993,237993,28277.8483209386,30734.1542524323,1.2942232846169,103.835815165829,103.835815165829,River Valley Primary School
54,SPRINGDALE PRIMARY SCHOOL,71,ANCHORVALE LINK,SPRINGDALE PRIMARY SCHOOL,71 ANCHORVALE LINK SPRINGDALE PRIMARY SCHOOL SINGAPORE 544799,544799,34299.680692099,41841.1254489459,1.39467010299293,103.889926221247,103.889926221247,Springdale Primary School
55,TAMPINES PRIMARY SCHOOL,250,TAMPINES STREET 12,TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12 TAMPINES PRIMARY SCHOOL SINGAPORE 529426,529426,40318.132583499,36877.4678724073,1.34977870805929,103.944004684986,103.944004684986,Tampines Primary School
