flat,park,park_dist,num_park_2km
435 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.5312106590596011,2
467 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.9161382598291997,2
634 ANG MO KIO AVE 6,Ang Mo Kio Town Garden West,0.820653230829537,3
504 ANG MO KIO AVE 8,Ang Mo Kio Town Garden East,0.4874178640353854,3
414 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.842366651819345,3
434 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.4535857006381025,3
346 ANG MO KIO AVE 3,Ang Mo Kio Town Garden East,0.407868260616707,3
638 ANG MO KIO AVE 6,Ang Mo Kio Town Garden West,0.7009011316460353,3
101 ANG MO KIO AVE 3,Ang Mo Kio Town Garden West,0.5801750803903368,3
354 ANG MO KIO ST 32,Ang Mo Kio Town Garden East,0.7730613236772249,3
648 ANG MO KIO AVE 5,Ang Mo Kio Town Garden West,0.4582550976563387,3
351 ANG MO KIO ST 32,Ang Mo Kio Town Garden East,0.7044507489818811,3
716 ANG MO KIO AVE 6,Ang Mo Kio Town Garden West,0.44051981819812774,3
700A ANG MO KIO AVE 6,Ang Mo Kio Town Garden East,0.4961730030919877,3
596D ANG MO KIO ST 52,Ang Mo Kio Town Garden East,0.1441987941807935,3
460 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,1.0757864604310734,3
700B ANG MO KIO AVE 6,Ang Mo Kio Town Garden East,0.511604116319269,3
437 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.4941088647406736,3
253 ANG MO KIO ST 21,Bishan-Ang Mo Kio Park,0.5082175091622068,3
596C ANG MO KIO ST 52,Ang Mo Kio Town Garden East,0.14243252954638203,3
316A ANG MO KIO ST 31,Ang Mo Kio Town Garden East,0.7662723450580977,3
439 ANG MO KIO AVE 10,Ang Mo Kio Town Garden East,0.59129942650296,3
350 ANG MO KIO ST 32,Ang Mo Kio Town Garden East,0.7732115218322457,3
353 ANG MO KIO ST 32,Ang Mo Kio Town Garden East,0.7432760752201945,3
700C ANG MO KIO AVE 6,Ang Mo Kio Town Garden East,0.46494534181358077,3
620 BEDOK RESERVOIR RD,Bedok Town Park,0.5160069256349886,1
618 BEDOK RESERVOIR RD,Bedok Town Park,0.6104029656272026,1
504 BEDOK NTH ST 3,Bedok Town Park,1.1516187159646187,1
503 BEDOK NTH ST 3,Bedok Town Park,1.1711794528030892,1
525 BEDOK NTH ST 3,Bedok Town Park,0.7900860442953936,1
709 BEDOK RESERVOIR RD,Bedok Town Park,0.11242508683408728,1
74 BEDOK NTH RD,Bedok Town Park,2.3389735574450583,0
20 CHAI CHEE RD,Bedok Town Park,0.9005819323401525,1
528 BEDOK NTH ST 3,Bedok Town Park,0.6134490449708503,1
3 BEDOK STH AVE 1,East Coast Park,1.6881197086850195,2
109 BEDOK NTH RD,Bedok Town Park,1.4245536733823674,1
632 BEDOK RESERVOIR RD,Bedok Town Park,0.9491910805704795,1
21 CHAI CHEE RD,Bedok Town Park,0.9532843945086927,1
89 BEDOK NTH ST 4,Bedok Town Park,1.7735893918347794,1
534 BEDOK NTH ST 3,Bedok Town Park,0.3128240916407635,1
614 BEDOK RESERVOIR RD,Bedok Town Park,0.6567227551517443,1
609 BEDOK RESERVOIR RD,Bedok Town Park,1.1465957974284526,1
136 BEDOK RESERVOIR RD,Bedok Town Park,0.9852725862223828,1
76 BEDOK NTH RD,Bedok Town Park,2.2953905018479333,0
529 BEDOK NTH ST 3,Bedok Town Park,0.4669198067085225,1
126 BEDOK NTH ST 2,Bedok Town Park,1.9684928618396282,1
18 BEDOK STH RD,East Coast Park,1.5990973708447254,1
57 CHAI CHEE DR,Bedok Town Park,0.963903000773914,1
37 CHAI CHEE AVE,Bedok Town Park,1.0795532802280112,1
110 BEDOK NTH RD,Bedok Town Park,1.4086402013432242,1
4 BEDOK STH AVE 1,East Coast Park,1.7559295926591065,2
424 BEDOK NTH AVE 1,Bedok Town Park,0.8738324033018785,1
158 BEDOK STH AVE 3,East Coast Park,2.1759689511321643,0
616 BEDOK RESERVOIR RD,Bedok Town Park,0.8668234908610177,1
55 CHAI CHEE DR,Bedok Town Park,0.9136293002200716,1
536 BEDOK NTH ST 3,Bedok Town Park,0.13336305987587507,1
57 NEW UPP CHANGI RD,East Coast Park,2.333212378305287,0
104 BEDOK NTH AVE 4,Bedok Town Park,1.59084498547092,1
92 BEDOK NTH AVE 4,Bedok Town Park,2.11990643366664,0
701 BEDOK RESERVOIR RD,Bedok Town Park,0.5246958279820446,1
103 BEDOK RESERVOIR RD,Bedok Town Park,1.5716442047634163,1
218 BEDOK NTH ST 1,Bedok Town Park,1.490452851132234,1
402 BEDOK NTH AVE 3,Bedok Town Park,1.3314901015814535,1
102 BEDOK NTH AVE 4,Bedok Town Park,1.682430564134773,1
116 BEDOK NTH RD,Bedok Town Park,1.7889998273940861,1
425 BEDOK NTH RD,Bedok Town Park,0.9318915063305467,1
208 NEW UPP CHANGI RD,Bedok Town Park,1.366895004478872,1
554 BEDOK NTH ST 3,Bedok Town Park,0.6770607946941588,1
419 BEDOK NTH ST 1,Bedok Town Park,1.0426815070068256,1
412 BEDOK NTH AVE 2,Bedok Town Park,1.1249626135601418,1
111 BEDOK RESERVOIR RD,Bedok Town Park,1.4553132967382998,1
36 BEDOK STH AVE 2,East Coast Park,1.8976125688561596,1
23 BEDOK STH AVE 1,Bedok Town Park,1.6927823419297645,2
42 CHAI CHEE ST,Bedok Town Park,0.8074456847119958,1
103 BEDOK NTH AVE 4,Bedok Town Park,1.693945749150859,1
151 BEDOK RESERVOIR RD,Bedok Town Park,1.2092765579641844,1
56 CHAI CHEE DR,Bedok Town Park,0.9256113433125348,1
